ip,module,status_code,server_header,version
"2.22.132.93","http80","400","AkamaiGHost","unknown"
"2.16.247.162","http80","400","AkamaiGHost","unknown"
"2.20.34.248","http80","400","AkamaiGHost","unknown"
"2.20.243.147","http80","400","AkamaiGHost","unknown"
"2.22.150.25","http80","400","AkamaiGHost","unknown"
"92.123.208.65","http80","400","AkamaiGHost","unknown"
"2.19.193.85","http80","400","AkamaiGHost","unknown"
"95.100.65.91","http443","400","AkamaiGHost","unknown"
"95.100.65.91","http80","400","AkamaiGHost","unknown"
"2.23.176.16","http443","400","AkamaiGHost","unknown"
"2.23.176.16","http80","400","AkamaiGHost","unknown"
"92.122.99.175","http443","400","AkamaiGHost","unknown"
"92.122.99.175","http80","400","AkamaiGHost","unknown"
"2.23.8.22","http443","400","AkamaiGHost","unknown"
"2.23.8.22","http80","400","AkamaiGHost","unknown"
"141.101.241.71","http80","200","nginx/1.6.2 + Phusion Passenger 4.0.58","1.6.2"
"95.101.241.25","http443","400","AkamaiGHost","unknown"
"95.101.241.25","http80","400","AkamaiGHost","unknown"
"2.57.239.71","http443","403","nginx","unknown"
"2.57.239.71","http80","200","nginx","unknown"
"92.123.206.137","http80","400","AkamaiGHost","unknown"
"2.17.44.13","http80","400","AkamaiGHost","unknown"
"139.162.151.158","http443","401","Apache","unknown"
"139.162.151.158","http80","401","Apache","unknown"
"213.174.138.231","http443","403","nginx/1.22.0","1.22.0"
"213.174.138.231","http80","403","nginx/1.22.0","1.22.0"
"92.122.1.166","http443","400","AkamaiGHost","unknown"
"92.122.1.166","http80","400","AkamaiGHost","unknown"
"92.122.60.176","http80","400","AkamaiGHost","unknown"
"109.72.86.8","http80","200","nginx","unknown"
"2.21.85.21","http443","400","AkamaiGHost","unknown"
"2.21.85.21","http80","400","AkamaiGHost","unknown"
"185.75.76.250","http80","400","cdn","unknown"
"202.148.53.98","http443","200","nginx","unknown"
"202.148.53.98","http80","200","nginx","unknown"
"143.177.123.62","http80","200","openresty","unknown"
"85.10.137.147","http443","200","Apache","unknown"
"85.10.137.147","http80","200","Apache","unknown"
"213.152.183.53","http443","200","nginx","unknown"
"213.152.183.53","http80","200","nginx","unknown"
"37.48.72.226","http443","403","Apache/2.4.6 (CentOS) PHP/7.4.33 OpenSSL/1.0.2k-fips","2.4.6"
"37.48.72.226","http80","200","Apache/2.4.6 (CentOS) PHP/7.4.33 OpenSSL/1.0.2k-fips","2.4.6"
"88.211.233.140","http443","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"88.211.233.140","http80","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"185.244.218.82","http443","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"185.244.218.82","http80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"212.187.52.150","http80","200","openresty","unknown"
"185.80.233.68","http443","403","nginx","unknown"
"185.80.233.68","http80","403","nginx","unknown"
"178.22.62.186","http443","200","Apache/2","2"
"178.22.62.186","http80","200","Apache/2","2"
"45.149.89.242","http443","200","Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8","2.4.58"
"45.149.89.242","http80","200","Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8","2.4.58"
"45.135.98.134","http443","200","Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8","2.4.58"
"45.135.98.134","http80","200","Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8","2.4.58"
"141.224.204.184","http80","200","openresty","unknown"
"31.207.28.201","http443","404","","unknown"
"109.237.216.13","http443","200","Apache","unknown"
"109.237.216.13","http80","200","Apache","unknown"
"2.18.134.33","http443","400","AkamaiGHost","unknown"
"2.18.134.33","http80","400","AkamaiGHost","unknown"
"2.21.90.127","http80","400","","unknown"
"2.22.112.4","http80","400","AkamaiGHost","unknown"
"83.81.2.167","http80","200","","unknown"
"185.3.178.115","http80","421","Apache","unknown"
"95.100.98.92","http80","400","AkamaiGHost","unknown"
"92.108.166.86","http443","403","nginx","unknown"
"92.108.166.86","http80","403","nginx","unknown"
"212.7.200.133","http443","200","nginx","unknown"
"212.7.200.133","http80","200","nginx","unknown"
"45.91.119.4","http443","200","nginx","unknown"
"45.91.119.4","http80","403","nginx","unknown"
"2.22.47.128","http80","400","AkamaiGHost","unknown"
"95.101.137.104","http443","400","AkamaiGHost","unknown"
"95.101.137.104","http80","400","AkamaiGHost","unknown"
"95.100.164.117","http443","400","AkamaiGHost","unknown"
"95.100.164.117","http80","400","AkamaiGHost","unknown"
"178.237.35.138","http443","200","Apache","unknown"
"178.237.35.138","http80","200","Apache","unknown"
"170.62.105.42","http443","404","nginx","unknown"
"170.62.105.42","http80","404","nginx","unknown"
"92.123.176.239","http443","400","AkamaiGHost","unknown"
"92.123.176.239","http80","400","AkamaiGHost","unknown"
"95.100.113.5","http80","400","AkamaiGHost","unknown"
"2.18.223.86","http80","400","AkamaiGHost","unknown"
"2.19.68.211","http443","400","AkamaiGHost","unknown"
"2.19.68.211","http80","400","AkamaiGHost","unknown"
"2.16.175.146","http443","400","AkamaiGHost","unknown"
"2.16.175.146","http80","400","AkamaiGHost","unknown"
"95.100.55.214","http443","400","AkamaiGHost","unknown"
"95.100.55.214","http80","400","AkamaiGHost","unknown"
"2.21.218.254","http443","400","AkamaiGHost","unknown"
"2.21.218.254","http80","400","AkamaiGHost","unknown"
"109.72.86.89","http80","200","nginx","unknown"
"31.44.0.49","http443","202","","unknown"
"31.44.0.49","http80","401","nginx/1.18.0","1.18.0"
"84.241.177.158","http443","400","Apache","unknown"
"84.241.177.158","http80","400","Apache","unknown"
"95.211.245.26","http80","200","Microsoft-IIS/10.0","10.0"
"95.100.227.47","http443","400","AkamaiGHost","unknown"
"95.100.227.47","http80","400","AkamaiGHost","unknown"
"2.21.109.90","http443","400","AkamaiGHost","unknown"
"2.21.109.90","http80","400","AkamaiGHost","unknown"
"95.100.176.189","http443","400","AkamaiGHost","unknown"
"95.100.176.189","http80","400","AkamaiGHost","unknown"
"2.20.163.171","http443","400","AkamaiGHost","unknown"
"2.20.163.171","http80","400","AkamaiGHost","unknown"
"2.18.173.60","http443","400","AkamaiGHost","unknown"
"2.18.173.60","http80","400","AkamaiGHost","unknown"
"46.235.40.38","http443","200","Apache/2.4.62 (AlmaLinux) OpenSSL/3.5.5 mod_fcgid/2.3.9","2.4.62"
"46.235.40.38","http80","200","Apache/2.4.62 (AlmaLinux) OpenSSL/3.5.5 mod_fcgid/2.3.9","2.4.62"
"2.18.237.113","http443","400","AkamaiGHost","unknown"
"2.18.237.113","http80","400","AkamaiGHost","unknown"
"62.251.71.163","http443","403","Apache","unknown"
"62.251.71.163","http80","403","","unknown"
"95.100.48.153","http443","400","AkamaiGHost","unknown"
"95.100.48.153","http80","400","AkamaiGHost","unknown"
"5.182.208.61","http443","200","nginx","unknown"
"5.182.208.61","http80","200","nginx","unknown"
"95.100.164.11","http443","400","AkamaiGHost","unknown"
"95.100.164.11","http80","400","AkamaiGHost","unknown"
"95.100.233.245","http443","400","AkamaiGHost","unknown"
