ip,module,version
"136.144.174.183","mongodb","7.0.31"
"45.148.26.202","mongodb","3.6.3"
"188.227.107.176","mongodb","4.4.3"
"95.211.40.127","mongodb","7.0.20"
"79.170.93.136","mongodb","3.4.24"
"37.97.238.160","mongodb","3.4.4"
"185.95.14.177","mongodb","4.2.0"
"139.162.175.46","mongodb","6.0.6"
"85.10.136.112","mongodb","6.0.5"
"195.162.69.201","mongodb","8.0.8"
"185.5.206.139","mongodb","6.0.25"
"45.91.135.7","mongodb","8.0.10"
"212.80.215.42","mongodb","unknown"
"139.162.11.68","mongodb","3.0.14"
"139.162.3.23","mongodb","5.0.11"
"139.162.16.23","mongodb","7.0.31"
"139.162.189.84","mongodb","5.0.27"
"83.149.110.94","mongodb","7.0.21"
"143.177.221.181","mongodb","8.0.8"
"185.209.22.34","mongodb","5.0.6"
"188.137.241.56","mongodb","7.0.34"
"212.43.148.234","mongodb","6.0.28"
"185.51.247.115","mongodb","7.0.31"
"89.149.243.12","mongodb","unknown"
