ip,status_code,server_header,nginx_version
"37.48.77.114","200","nginx","unknown"
"139.162.214.126","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"77.93.70.34","200","nginx/1.18.0","1.18.0"
"94.228.129.26","404","nginx/1.26.1","1.26.1"
"185.156.162.210","403","nginx","unknown"
"185.180.223.233","404","nginx/1.4.5","1.4.5"
"37.230.129.214","403","nginx","unknown"
"62.195.89.16","403","nginx","unknown"
"213.174.139.204","403","nginx/1.22.0","1.22.0"
"149.210.143.114","404","nginx/1.24.0 (Ubuntu)","1.24.0"
"81.29.223.95","403","nginx","unknown"
"37.97.148.2","200","nginx","unknown"
"62.165.75.182","200","nginx","unknown"
"85.119.48.133","200","nginx/1.22.1","1.22.1"
"213.249.70.40","400","nginx","unknown"
"109.232.225.5","200","nginx","unknown"
"95.170.86.145","401","nginx/1.14.0 (Ubuntu)","1.14.0"
"5.255.125.13","404","nginx","unknown"
"95.211.179.52","404","nginx","unknown"
"185.247.48.113","200","nginx","unknown"
"45.133.248.30","403","nginx","unknown"
"31.14.98.72","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"91.220.25.227","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"194.213.127.107","400","nginx","unknown"
"139.162.31.223","200","nginx/1.4.6 (Ubuntu)","1.4.6"
"176.222.54.181","404","nginx/1.25.5","1.25.5"
"31.201.233.95","200","nginx","unknown"
"217.102.220.29","200","nginx","unknown"
"89.30.224.54","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"139.162.150.127","404","nginx/1.29.8","1.29.8"
"37.251.22.76","200","nginx","unknown"
"188.137.251.27","200","nginx","unknown"
"185.65.214.110","200","nginx","unknown"
"185.191.0.202","200","nginx","unknown"
"5.79.98.148","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"188.137.231.84","200","nginx","unknown"
"212.78.223.29","404","nginx/1.18.0 (Ubuntu)","1.18.0"
"86.90.127.72","200","nginx","unknown"
"139.162.102.126","403","nginx","unknown"
"95.211.210.130","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"170.62.109.234","404","nginx","unknown"
"212.8.252.29","404","nginx","unknown"
"89.149.241.75","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"188.137.254.183","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"145.131.29.144","200","nginx","unknown"
"84.27.229.16","200","nginx","unknown"
"142.234.38.126","502","nginx/1.29.3","1.29.3"
"188.137.240.248","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"45.131.180.123","404","nginx","unknown"
"94.75.219.21","200","nginx","unknown"
"178.162.173.135","401","nginx","unknown"
"87.253.137.38","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"81.29.213.152","200","nginx","unknown"
"45.128.220.83","200","nginx/1.14.1","1.14.1"
"77.162.47.93","200","nginx","unknown"
"193.5.147.144","200","nginx/1.22.1","1.22.1"
"93.190.140.101","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"139.162.174.179","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"139.162.148.224","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"213.108.105.229","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"92.118.110.144","401","nginx/1.18.0 (Ubuntu)","1.18.0"
"5.11.82.178","200","nginx","unknown"
"149.143.105.80","200","nginx","unknown"
"77.172.72.250","200","freenginx/1.31.0","1.31.0"
"185.95.15.189","200","nginx","unknown"
"136.144.131.229","200","nginx","unknown"
"188.120.46.152","200","nginx","unknown"
"139.162.48.183","200","nginx","unknown"
"5.61.251.111","200","nginx","unknown"
"176.74.246.17","502","nginx","unknown"
"5.79.109.68","200","nginx","unknown"
"185.11.145.156","200","nginx","unknown"
"37.72.106.250","200","nginx","unknown"
"185.253.216.11","404","nginx/1.18.0 (Ubuntu)","1.18.0"
"139.162.184.81","404","nginx","unknown"
"139.162.178.239","403","nginx/1.18.0 (Ubuntu)","1.18.0"
"170.62.109.6","404","nginx","unknown"
"85.17.244.186","404","nginx","unknown"
"185.209.51.164","404","nginx","unknown"
"82.170.14.177","403","nginx","unknown"
"37.48.113.244","403","nginx","unknown"
"136.144.254.13","200","nginx/1.16.1","1.16.1"
"45.83.204.222","200","nginx","unknown"
"77.169.145.52","200","nginx","unknown"
"88.208.2.214","200","nginx/1.19.6","1.19.6"
"188.190.113.200","404","nginx","unknown"
"185.11.145.57","200","nginx","unknown"
"213.132.223.156","200","nginx","unknown"
"185.95.26.169","200","nginx","unknown"
"78.111.90.195","401","nginx/1.18.0","1.18.0"
"188.137.183.201","200","nginx/1.28.2","1.28.2"
"93.119.11.194","200","nginx","unknown"
"185.71.61.113","200","nginx","unknown"
"45.88.104.27","200","nginx","unknown"
"139.162.138.45","200","nginx/1.15.8","1.15.8"
