org,count
"TRANSIP-AS Amsterdam, the Netherlands, NL",2540
"LEASEWEB-NL-AMS-01 Netherlands, NL",2290
"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",2257
"TNF-AS, NL",1270
"KPN KPN National, NL",1222
"ADVANCEDHOSTERS-AS, NL",751
"PODAON, LV",713
"WORLDSTREAM, NL",675
"HOSTKEY-AS, NL",612
"ODIDO, NL",561
"CLDIN-NL Your Hosting B.V. part of Your.Online, NL",487
"HOSTNET, NL",455
"COGENT-174 - Cogent Communications, LLC, US",373
"PODAON, NL",363
"SERVERS-COM - Servers.com, Inc., US",357
"KEEN-AS, NL",348
"ROYALE-AS, NL",299
"KABELFOON DELTA Fiber Nederland, NL",283
"NL-BIT BIT BV, NL",255
"ONECOM, DK",253
"LITESERVER, NL",253
"WEBZILLA, NL",251
"NFORCE, NL",193
"AS-ITGLOBALCOM ITGLOBAL.COM, NL",192
"NABL-AS, NL",174
"SIAMDATA-TH Siamdata Communication Co.,Ltd., TH",164
"TILAA, NL",138
"SURFNET-NL SURFnet, The Netherlands, NL",133
"XL-AS, NL",130
"UNISERVER-AS, NL",122
"SPECTRAIP SpectraIP B.V., NL",121
"SERVERIUS-AS, NL",118
"NEDZONE-AS, NL",116
"FREEDOMINTERNET, NL",107
"INFOPACT-AS The Netherlands, NL",97
"CYSO-AS, NL",94
"GREENHOST, NL",93
"WEDARE wd6.NET B.V, NL",87
"GLOBALLAYER, NL",83
"COMBELL-AS, BE",73
"PODAON-PL-1, LV",72
"INT-NETWORK, SC",72
"I3DNET, NL",72
"NOVOSERVE-AS, NL",72
"ONEHOSTPLANET Giga, CZ",68
"CJ2-AS, NL",66
"VIKINGHOST, NL",66
"PREVIDER-AS, NL",64
"A2B, NL",61
"FUNDAMENTS-AS, NL",61
"TRUESERVER-AS TrueServer BV AS number, NL",60
"AMAZON-02 - Amazon.com, Inc., US",59
"SNEL, NL",56
"PROLOCATION Prolocation, NL",56
"ABELOHOST, NL",55
"SERVIHOSTING-AS AireNetworks, ES",55
"NL-SOLCON SOLCON, NL",55
"FREE RANGE CLOUD - Free Range Cloud Hosting Inc., CA",54
"VOIZXL-AS, NL",53
"METAREGISTRAR, NL",53
"INTERNET-SPEECH-AND-PRIVACY-LLC - IncogNet LLC, US",52
"CNSERVER-AP-AS CNServer LLC, US",50
"EQUINIX, NL",49
"DUOCAST-AS, NL",46
"ASDETUK www.heficed.com, US",46
"AGLZ, ES",44
"WGIX - WGIX, US",44
"SATECHNOLOGY, US",44
"TUDELFT-NL DTO TUDELFT, The Netherlands - AS, NL",43
"I-3 - N-able Technologies, Inc., US",42
"DEDIFIX, NL",41
"ASN-ROUTELABEL, NL",41
"QUICKHOSTUK, GB",40
"ASN-ROUTIT, NL",40
"ONE-NETWORK, DE",39
"TK-NET, SC",38
"PROCOLIX, NL",37
"NETSOLUTIONS, MO",37
"INTERCONNECT Interconnect Services B.V., NL",36
"NEXTPERTISE Nextpertise, NL",36
"FIBO, NL",35
"AS-EUROFIBER, NL",34
"REDHOSTING-AS, NL",34
"HS-HOST9X, HK",33
"ODIDO AS for the Odido IP Transport backbone, NL",33
"INTERRACKS-AS, NL",33
"UNITED, RS",33
"ULTAHOST-AS, US",32
"AKAMAI-ASN1, NL",32
"BITENCY-AS, NL",32
"MIJNHOST, NL",32
"BATTLEHOST BattleHost, BR",31
"HOST-INDUSTRY, GB",31
"HIZAKURA-, NL",30
"ZAP-HOSTING, DE",30
"ENFLOW, NL",30
"WINDCLOUD40-AS, DE",29
"COMPUKOS-AS, NL",29
"HIGH5-, NL",29
"UTWENTE-AS University Twente, NL",28
"SIGNETBREEDBAND, NL",26
"MIRHOSTING, NL",26
"AS-TBNLTN, NL",25
"EQUEST-AS e-Quest IT Diensten, NL",25
"NTPCL-AS-AP National Telecom Public Company Limited, TH",25
"TUXIS, NL",25
"MOJHOST-EU, NL",25
"ETHERON, NL",24
"MC-NODE-AS, NL",24
"Gamers Club Ltda, BR",24
"COLOCLUE-AS Netwerkvereniging Coloclue, Amsterdam, Netherlands, NL",24
"ALTUS, NL",24
"ACCESS2IT Access2.IT Network, NL",24
"028f45e8dd4f225cb46a7d8003745a3a7f55d3a0, DE",23
"TRANS-IX-AS Trans-iX Autonomous System, NL",23
"RSMEDIA-AS, RU",23
"HOSTING2GO, NL",22
"FIBERRING Amsterdam, Netherlands, NL",22
"THREEDATA-AS, RU",20
"NETH-AS, UA",20
"BEST-LINE-AS, RU",20
"GLOBAL-E, NL",20
"ZYLON-AS, NL",20
"NL-PRIVATEHOST, NL",19
"GREENCLOUD, VN",19
"AS-HOSTINGER, CY",18
"MYGAMES, NL",18
"QONNECTED-AS Qonnected B.V., NL",18
"GREENEDGE, NL",18
"MYLOC-AS WIIT group IP Backbone, DE",18
"AKAMAI-AS - Akamai Technologies, Inc., US",17
"VBOXX, NL",17
"FYFEWEB FyfeWeb Core Network, GB",17
"SOLIDBE, NL",17
"NL-INTERMAX Intermax Cloudsourcing B.V., NL",17
"WESERVE, NL",16
"NL-NETVISIT, NL",16
"EURONET, NL",15
"AS-F2X, NL",15
"EFOLDER-, NL",15
"BLACKGATE, NL",15
"KPN-INTERNEDSERVICES KPN Internedservices, NL",15
"OSSO, NL",15
"PAYLOGIC, NL",15
"ESMERO, NL",15
"SEWAN-, NL",14
"CORENET, AE",14
"IPCONNECT, SC",14
"HOSTSLIM-GLOBAL-NETWORK, EE",14
"XTOM xTom Pty Ltd, AU",14
"AS-ITGLOBALCOM-KZ ITGLOBAL.COM Kazakhstan, RU",14
"XTOM xTom GmbH, DE",13
"NGNETWORKS NG-BLU Networks ASN, NL",13
"XXLNET, NL",13
"PLINQ, NL",13
"AS-XYNTA, NL",13
"MEZZAMI-AS, NL",13
"CITIC CITIC Telecom CPC Netherlands B.V., NL",13
"HS, AE",12
"ASIMO-AS, NL",12
"ASN-POSTA Uplinks, SI",12
"FUSIX-AS, NL",12
"DANIEL, GB",12
"SIGNET-AS, NL",12
"SERVADA, NL",12
"HOSTGHOST-AS, NL",12
"X2COM, NL",12
"DDF-AS, NL",12
"QNAX LTDA, BR",12
"IP-EEND-AS IP-EEND BV, NL",11
"ALLHOSTINGS, RU",11
"WHOLESALECONNECTIONS, NL",11
"DMA-AS, NL",11
"CLOUDFORESTCOLTD-AS-AP CLOUDFOREST CO., LTD., TH",11
"ARENHOST Steven Gusti Hutama, ID",11
"EKACOD-AS, RU",11
"XTOM-JAPAN xTom Japan Corporation, JP",11
"GL-IX-AS, NL",11
"DTLN, RU",10
"ONIDEL-AS-AP Onidel Pty Ltd, AU",10
"NUBACLOUD, NL",10
"SIT, NL",10
"EKMEDIA, NL",10
"CRITICALCORE, NL",10
"RIPE-NCC-AS Reseaux IP Europeens Network Coordination Centre RIPE NCC, NL",10
"AS-GLOBALTELEHOST - GTHost, US",9
"HSCG-AS, NL",9
"PFCLOUD Pfcloud UG, DE",9
"INFRAPOD, NL",9
"ASNET - Baxet Group Inc., US",9
"MIRHOSTING-, NL",9
"SPACECORE, GB",9
"CLEVERIT, NL",8
"A1-DC, NL",8
"EVEO S.A., BR",8
"GAMEPOINT Gamepoint autonomous system, NL",8
"FLEXYNODE-AS, NL",8
"NL-1KEY, NL",8
"ATOM86-AS ATOM86, NL",8
"LOGICFORGE, GB",8
"ASSEFLOW, IT",8
"BIGNET-AS, UA",8
"CLOUDNL-AS, NL",8
"VIRTUALXS-AS, NL",8
"TECHNOBERG, NL",8
"BIP-AS BIP Backbone ASN, NL",8
"VOYS, NL",8
"NETROUTING-AS, NL",8
"FEROXHOSTING-NET, NL",8
"SERVAONE, GB",8
"GIDPRO, NL",8
"CDNETWORKS, RU",8
"VOIPEDEU, NL",8
"GO-TREX Go-Trex Internet Solution Partner, NL",7
"GD-EMEA-DC-LD5, GB",7
"FBX-AS, NL",7
"LUNA, NL",7
"M3NETWORKS, NL",7
"INFRABLOCKS, NL",7
"ASBIZWAY, NL",7
"VSHOSTING, CZ",7
"PT, NL",7
"XTOM xTom, HK",7
"NL-CAVEO, NL",7
"AS-SERVERION Serverion B.V., NL",7
"NL-KABELTEX Kabeltex B.V., NL",7
"SPEEDXS-AS, NL",7
"CROWNCLOUD, AU",6
"NEDERLANDNET-AS, NL",6
"ATOM86-AS, NL",6
"IRONHOST, GB",6
"GREENMINIHOST, NL",6
"UPCLOUD, FI",6
"THREE-W-INFRA-AS, NL",6
"RACKGENIUS - RackGenius, US",6
"CLOUDCONTAINERS, NL",6
"CUCI, NL",6
"JONAZ, NL",6
"VXBITS VXbits Network, NL",6
"NETREBEL, NL",6
"BUSINESSCONNECT, NL",6
"PANGEA-CONNECTED, GB",6
"COLOCENTER, NL",6
"JACKMX, UA",5
"VELOXSERV, GB",5
"HIVOS, NL",5
"DATAFIBER, NL",5
"ALSYCON-BV, NL",5
"CLYVO-AS Clyvo Networks, NL",5
"CYBERCON - CYBERCON, INC., US",5
"INFRACOM-AS, NL",5
"LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL",5
"EXTRAIP-AS, NL",5
"AS49870-BV, NL",5
"INTERNETARCHIVEEU, NL",5
"ASSERVEREASY, IT",5
"DATAWEB DataWeb B.V. - The Netherlands, NL",5
"AS-CM, NL",5
"SERAC-, NL",5
"VI-PORT-AS, UA",5
"CRISP S.A., CR",5
"KUROIT-AS-AP Kuroit, IN",5
"ENX Services, BR",5
"V6NODE-AS, DE",5
"INIOS-AS, FI",5
"NL-NEFOS-AS, NL",5
"FIBER01-WOERDEN-AS, NL",5
"ASN-NETHOLDING Autonomous System for Netholding., NL",5
"VDSka hosting, KG",5
"PROXILITY-AS, NL",5
"NEDAP-AS, NL",5
"CQINT-, NL",5
"ECHELON-AS Institutenweg 38, NL",4
"ONEOF1SERVERS, US",4
"PETIT-AS, NL",4
"WEBSPACEHOSTING, NL",4
"CHEESEHOSTING, NL",4
"M247, RO",4
"FOON Digifoon Group B.V., NL",4
"KRUIZUA-AS, UA",4
"NL-SVSNET, NL",4
"UVA-NL Universiteit van Amsterdam, EU",4
"LEADERTELECOMBV-AS, NL",4
"ASN-COMMUNITYFIBRE, GB",4
"HOSTCIRCLE-L-, NL",4
"SOLVINITY-, NL",4
"ATGS-MMD-AS - AT&T Enterprises, LLC, US",4
"PRODACOM-AS, NL",4
"GNTEL-AS, NL",4
"KLAVER-IT, NL",4
"WALHALLA__AS30937, ES",4
"ANYIT-CONNECTIONS-AS Any-iT Connections, NL",4
"NEBIUSCLOUD, NL",4
"GETRONICS_AS, NL",4
"KAVOS, NL",4
"CHOCIZ-AS, IN",4
"AS204765, NL",4
"ITS-AS, RU",4
"GHOSTYNETWORKS, US",4
"FOURCONSULT, NL",4
"ARTOFAUTOMATION-AS, NL",4
"NETIFACE-AS, GB",4
"HOSTSHIELD, GB",4
"GOLDENNET, UA",4
"IPUBLICATIONS, NL",3
"ASN-GVRH, NL",3
"MICAIP, NL",3
"INTENTION-AS, NL",3
"ESTNOC-GLOBAL, EE",3
"ZEROPLEX, NL",3
"NKTELECOM, US",3
"FDCSERVERS - FDCservers.net, US",3
"SMARTCITIES-AS, KZ",3
"CBWS-AS, NL",3
"AS-ZXCS, NL",3
"XRCSERVICES, NL",3
"SOVERIN, NL",3
"MOBIELWERKT, NL",3
"NETBELA-AS, NL",3
"SONA-AS, NL",3
"LAYER23, NL",3
"VYPER-HOSTING, GB",3
"ITSHOSTED-AS, NL",3
"SYSTEMEC-AS, NL",3
"XYPHEN, NL",3
"WORLDICT, NL",3
"AS_INIT3, NL",3
"UTELS, UA",3
"GNX, NL",3
"INTERSTROOM-AS Hengelo, The Netherlands, NL",3
"ESAB-AS, SE",3
"CLARANET-AS ClaraNET LTD, GB",3
"FMO-SOLUTIONS, NL",3
"VUSAM, NL",3
"MAXITEL, NL",3
"MGHOSTING, NL",3
"HOSTBET, IN",3
"CHEAPCONNECT, NL",3
"TRIPLE-IT 1 Transit policy pref 110-120, NL",3
"NETLOGICS-AS, NL",3
"PICTURA-NET, NL",3
"INS-AS - AT&T Enterprises, LLC, US",3
"CYBERFUSION, NL",3
"MMATON-AS, NL",3
"PUBLIEKE-OMROEP-AS NPO Nederlandse Publieke Omroep, NL",3
"ESPRESSO-AS, NL",3
"MATREON-AS, NL",3
"ASLD4UNITY, NL",3
"NEWVM-AS, NL",3
"SUMMERHOSTING Autonomous System Number - SummerHosting sp. z o. o., PL",2
"UNISCAPEB IT-Services & Hosting, NL",2
"RDKIT, NL",2
"VERTEBRATUS-NL-AS, NL",2
"IT-TWT-AS, IT",2
"RUDN-AS, RU",2
"KVMKA-COM, RS",2
"PeakFactory, a MSP on IPTV, OTT and VOD with its own CDN, NL",2
"NFORCE-FTTB-FTTH, NL",2
"IPVN-AS01, NL",2
"ITCREATION, NL",2
"M-LINE-AS, RU",2
"SPRINGER-NATURE, NL",2
"TRIBION, NL",2
"LIBERNET, NL",2
"FLOWMAILER, NL",2
"DATAFOREST, DE",2
"COPACO-CLOUD-BACKBONE Copaco Cloud B.V. Global Backbone, NL",2
"NETCO_TECHNOLOGY, NL",2
"MEDIACASTER-AS, NL",2
