cve_id,count
CVE-2026-9753,565
CVE-2025-14847,414
CVE-2026-8053,347
CVE-2026-9740,210
CVE-2026-9741,210
CVE-2026-9746,210
CVE-2026-9747,210
CVE-2026-9749,210
CVE-2026-9750,210
CVE-2026-9751,210
CVE-2026-9752,210
CVE-2026-8199,197
CVE-2026-8200,197
CVE-2026-8201,197
CVE-2026-8202,197
CVE-2025-12657,196
CVE-2025-6707,195
CVE-2026-9748,193
CVE-2026-6914,190
CVE-2026-6915,190
CVE-2025-10060,178
CVE-2025-10061,178
CVE-2026-4147,171
CVE-2026-4148,171
CVE-2026-4358,171
CVE-2026-5170,171
CVE-2025-3084,163
CVE-2025-3085,163
CVE-2025-6714,155
CVE-2024-10921,153
CVE-2025-3083,150
CVE-2026-1847,147
CVE-2026-1848,147
CVE-2026-1849,147
CVE-2026-25609,147
CVE-2026-25610,147
CVE-2026-25613,147
CVE-2025-3082,147
CVE-2025-6713,147
CVE-2025-10059,146
CVE-2021-32036,137
CVE-2025-6711,132
CVE-2025-6709,131
CVE-2025-6710,131
CVE-2025-12893,129
CVE-2025-13507,129
CVE-2025-13643,129
CVE-2025-13644,129
CVE-2025-14345,129
CVE-2025-6706,122
CVE-2025-11979,120
CVE-2020-7923,113
CVE-2024-1351,113
CVE-2024-8305,96
CVE-2023-1409,84
CVE-2024-7553,76
CVE-2024-3372,58
CVE-2026-1850,57
CVE-2026-9743,57
CVE-2021-20330,55
CVE-2019-2392,54
CVE-2020-7928,54
CVE-2019-20925,53
CVE-2021-20333,52
CVE-2024-6375,51
CVE-2021-32040,49
CVE-2024-6384,49
CVE-2019-2389,48
CVE-2019-2390,48
CVE-2025-0755,48
CVE-2019-2386,45
CVE-2018-20803,44
CVE-2020-7921,41
CVE-2025-6712,40
CVE-2020-7929,37
CVE-2019-2393,36
CVE-2024-3374,31
CVE-2018-20804,30
CVE-2018-20805,28
CVE-2018-25004,28
CVE-2018-20802,26
CVE-2024-8207,20
CVE-2020-7925,17
CVE-2019-20923,17
CVE-2016-6494,13
CVE-2021-20326,12
CVE-2024-8654,7
CVE-2017-15535,6
CVE-2013-2132,6
CVE-2022-24272,5
CVE-2019-20924,4
CVE-2015-1609,4
CVE-2021-32037,2
CVE-2020-7926,2
CVE-2015-7882,1
CVE-2013-1892,1
CVE-2012-6619,1
