,ip,version,cve_id,base_score,base_severity,cvss_version
0,136.144.174.183,7.0.31,CVE-2026-6914,7.1,HIGH,4.0
1,136.144.174.183,7.0.31,CVE-2026-6915,5.3,MEDIUM,4.0
2,136.144.174.183,7.0.31,CVE-2026-8053,8.7,HIGH,4.0
3,136.144.174.183,7.0.31,CVE-2026-8199,7.1,HIGH,4.0
4,136.144.174.183,7.0.31,CVE-2026-8200,4.8,MEDIUM,4.0
5,136.144.174.183,7.0.31,CVE-2026-8201,6.1,MEDIUM,4.0
6,136.144.174.183,7.0.31,CVE-2026-8202,5.3,MEDIUM,4.0
7,136.144.174.183,7.0.31,CVE-2026-9740,8.7,HIGH,4.0
8,136.144.174.183,7.0.31,CVE-2026-9741,7.1,HIGH,4.0
9,136.144.174.183,7.0.31,CVE-2026-9746,7.1,HIGH,4.0
10,136.144.174.183,7.0.31,CVE-2026-9747,7.1,HIGH,4.0
11,136.144.174.183,7.0.31,CVE-2026-9748,7.1,HIGH,4.0
12,136.144.174.183,7.0.31,CVE-2026-9749,7.1,HIGH,4.0
13,136.144.174.183,7.0.31,CVE-2026-9750,7.1,HIGH,4.0
14,136.144.174.183,7.0.31,CVE-2026-9751,6.8,MEDIUM,4.0
15,136.144.174.183,7.0.31,CVE-2026-9752,7.1,HIGH,4.0
16,136.144.174.183,7.0.31,CVE-2026-9753,7.2,HIGH,4.0
17,45.148.26.202,3.6.3,CVE-2019-2386,7.1,HIGH,3.1
18,45.148.26.202,3.6.3,CVE-2019-2389,4.2,MEDIUM,3.1
19,45.148.26.202,3.6.3,CVE-2019-2390,7.8,HIGH,3.1
20,45.148.26.202,3.6.3,CVE-2020-7921,5.3,MEDIUM,3.1
21,45.148.26.202,3.6.3,CVE-2020-7923,6.5,MEDIUM,3.1
22,45.148.26.202,3.6.3,CVE-2018-20802,6.5,MEDIUM,3.1
23,45.148.26.202,3.6.3,CVE-2018-20804,6.5,MEDIUM,3.1
24,45.148.26.202,3.6.3,CVE-2018-20805,6.5,MEDIUM,3.1
25,45.148.26.202,3.6.3,CVE-2019-2392,6.5,MEDIUM,3.1
26,45.148.26.202,3.6.3,CVE-2019-2393,6.5,MEDIUM,3.1
27,45.148.26.202,3.6.3,CVE-2020-7928,6.5,MEDIUM,3.1
28,45.148.26.202,3.6.3,CVE-2018-20803,6.5,MEDIUM,3.1
29,45.148.26.202,3.6.3,CVE-2019-20925,7.5,HIGH,3.1
30,45.148.26.202,3.6.3,CVE-2020-7929,6.5,MEDIUM,3.1
31,45.148.26.202,3.6.3,CVE-2018-25004,4.9,MEDIUM,3.1
32,45.148.26.202,3.6.3,CVE-2021-20333,5.3,MEDIUM,3.1
33,45.148.26.202,3.6.3,CVE-2021-32036,7.1,HIGH,3.1
34,45.148.26.202,3.6.3,CVE-2025-14847,8.7,HIGH,4.0
35,45.148.26.202,3.6.3,CVE-2026-9753,7.2,HIGH,4.0
36,188.227.107.176,4.4.3,CVE-2021-20326,6.5,MEDIUM,3.1
37,188.227.107.176,4.4.3,CVE-2021-20330,6.5,MEDIUM,3.1
38,188.227.107.176,4.4.3,CVE-2021-32036,7.1,HIGH,3.1
39,188.227.107.176,4.4.3,CVE-2021-32040,7.5,HIGH,3.1
40,188.227.107.176,4.4.3,CVE-2023-1409,7.5,HIGH,3.1
41,188.227.107.176,4.4.3,CVE-2024-1351,9.8,CRITICAL,3.1
42,188.227.107.176,4.4.3,CVE-2025-14847,8.7,HIGH,4.0
43,188.227.107.176,4.4.3,CVE-2026-9753,7.2,HIGH,4.0
44,95.211.40.127,7.0.20,CVE-2025-6707,5.4,MEDIUM,3.1
45,95.211.40.127,7.0.20,CVE-2025-10060,7.5,HIGH,3.1
46,95.211.40.127,7.0.20,CVE-2025-10061,6.5,MEDIUM,3.1
47,95.211.40.127,7.0.20,CVE-2025-11979,6.5,MEDIUM,3.1
48,95.211.40.127,7.0.20,CVE-2025-12657,5.9,MEDIUM,4.0
49,95.211.40.127,7.0.20,CVE-2025-12893,2.3,LOW,4.0
50,95.211.40.127,7.0.20,CVE-2025-13507,7.1,HIGH,4.0
51,95.211.40.127,7.0.20,CVE-2025-13643,2.3,LOW,4.0
52,95.211.40.127,7.0.20,CVE-2025-13644,7.1,HIGH,4.0
53,95.211.40.127,7.0.20,CVE-2025-14345,2.3,LOW,4.0
54,95.211.40.127,7.0.20,CVE-2025-14847,8.7,HIGH,4.0
55,95.211.40.127,7.0.20,CVE-2026-1847,7.1,HIGH,4.0
56,95.211.40.127,7.0.20,CVE-2026-1848,8.2,HIGH,4.0
57,95.211.40.127,7.0.20,CVE-2026-1849,7.1,HIGH,4.0
58,95.211.40.127,7.0.20,CVE-2026-25609,5.3,MEDIUM,4.0
59,95.211.40.127,7.0.20,CVE-2026-25610,7.1,HIGH,4.0
60,95.211.40.127,7.0.20,CVE-2026-25613,7.1,HIGH,4.0
61,95.211.40.127,7.0.20,CVE-2026-4147,7.1,HIGH,4.0
62,95.211.40.127,7.0.20,CVE-2026-4148,8.7,HIGH,4.0
63,95.211.40.127,7.0.20,CVE-2026-4358,6.1,MEDIUM,4.0
64,95.211.40.127,7.0.20,CVE-2026-5170,6.0,MEDIUM,4.0
65,95.211.40.127,7.0.20,CVE-2026-6914,7.1,HIGH,4.0
66,95.211.40.127,7.0.20,CVE-2026-6915,5.3,MEDIUM,4.0
67,95.211.40.127,7.0.20,CVE-2026-8053,8.7,HIGH,4.0
68,95.211.40.127,7.0.20,CVE-2026-8199,7.1,HIGH,4.0
69,95.211.40.127,7.0.20,CVE-2026-8200,4.8,MEDIUM,4.0
70,95.211.40.127,7.0.20,CVE-2026-8201,6.1,MEDIUM,4.0
71,95.211.40.127,7.0.20,CVE-2026-8202,5.3,MEDIUM,4.0
72,95.211.40.127,7.0.20,CVE-2026-9740,8.7,HIGH,4.0
73,95.211.40.127,7.0.20,CVE-2026-9741,7.1,HIGH,4.0
74,95.211.40.127,7.0.20,CVE-2026-9746,7.1,HIGH,4.0
75,95.211.40.127,7.0.20,CVE-2026-9747,7.1,HIGH,4.0
76,95.211.40.127,7.0.20,CVE-2026-9748,7.1,HIGH,4.0
77,95.211.40.127,7.0.20,CVE-2026-9749,7.1,HIGH,4.0
78,95.211.40.127,7.0.20,CVE-2026-9750,7.1,HIGH,4.0
79,95.211.40.127,7.0.20,CVE-2026-9751,6.8,MEDIUM,4.0
80,95.211.40.127,7.0.20,CVE-2026-9752,7.1,HIGH,4.0
81,95.211.40.127,7.0.20,CVE-2026-9753,7.2,HIGH,4.0
82,79.170.93.136,3.4.24,CVE-2020-7923,6.5,MEDIUM,3.1
83,79.170.93.136,3.4.24,CVE-2021-32036,7.1,HIGH,3.1
84,79.170.93.136,3.4.24,CVE-2026-9753,7.2,HIGH,4.0
85,37.97.238.160,3.4.4,CVE-2017-15535,9.1,CRITICAL,3.0
86,37.97.238.160,3.4.4,CVE-2019-2386,7.1,HIGH,3.1
87,37.97.238.160,3.4.4,CVE-2019-2389,4.2,MEDIUM,3.1
88,37.97.238.160,3.4.4,CVE-2019-2390,7.8,HIGH,3.1
89,37.97.238.160,3.4.4,CVE-2020-7923,6.5,MEDIUM,3.1
90,37.97.238.160,3.4.4,CVE-2018-20803,6.5,MEDIUM,3.1
91,37.97.238.160,3.4.4,CVE-2019-20925,7.5,HIGH,3.1
92,37.97.238.160,3.4.4,CVE-2021-32036,7.1,HIGH,3.1
93,37.97.238.160,3.4.4,CVE-2026-9753,7.2,HIGH,4.0
94,185.95.14.177,4.2.0,CVE-2020-7921,5.3,MEDIUM,3.1
95,185.95.14.177,4.2.0,CVE-2020-7923,6.5,MEDIUM,3.1
96,185.95.14.177,4.2.0,CVE-2020-7925,7.5,HIGH,3.1
97,185.95.14.177,4.2.0,CVE-2019-20924,6.5,MEDIUM,3.1
98,185.95.14.177,4.2.0,CVE-2019-2392,6.5,MEDIUM,3.1
99,185.95.14.177,4.2.0,CVE-2019-2393,6.5,MEDIUM,3.1
100,185.95.14.177,4.2.0,CVE-2020-7928,6.5,MEDIUM,3.1
101,185.95.14.177,4.2.0,CVE-2019-20925,7.5,HIGH,3.1
102,185.95.14.177,4.2.0,CVE-2021-20333,5.3,MEDIUM,3.1
103,185.95.14.177,4.2.0,CVE-2021-20330,6.5,MEDIUM,3.1
104,185.95.14.177,4.2.0,CVE-2021-32036,7.1,HIGH,3.1
105,185.95.14.177,4.2.0,CVE-2021-32040,7.5,HIGH,3.1
106,185.95.14.177,4.2.0,CVE-2025-14847,8.7,HIGH,4.0
107,185.95.14.177,4.2.0,CVE-2026-9753,7.2,HIGH,4.0
108,139.162.175.46,6.0.6,CVE-2023-1409,7.5,HIGH,3.1
109,139.162.175.46,6.0.6,CVE-2024-1351,9.8,CRITICAL,3.1
110,139.162.175.46,6.0.6,CVE-2024-3372,7.5,HIGH,3.1
111,139.162.175.46,6.0.6,CVE-2024-6375,6.5,MEDIUM,3.1
112,139.162.175.46,6.0.6,CVE-2024-7553,7.8,HIGH,3.1
113,139.162.175.46,6.0.6,CVE-2024-6384,5.3,MEDIUM,3.1
114,139.162.175.46,6.0.6,CVE-2024-8305,6.5,MEDIUM,3.1
115,139.162.175.46,6.0.6,CVE-2024-10921,8.1,HIGH,3.1
116,139.162.175.46,6.0.6,CVE-2025-3082,5.4,MEDIUM,3.1
117,139.162.175.46,6.0.6,CVE-2025-3083,7.5,HIGH,3.1
118,139.162.175.46,6.0.6,CVE-2025-3084,6.5,MEDIUM,3.1
119,139.162.175.46,6.0.6,CVE-2025-3085,9.8,CRITICAL,3.1
120,139.162.175.46,6.0.6,CVE-2025-6706,8.8,HIGH,3.1
121,139.162.175.46,6.0.6,CVE-2025-6707,5.4,MEDIUM,3.1
122,139.162.175.46,6.0.6,CVE-2025-6709,7.5,HIGH,3.1
123,139.162.175.46,6.0.6,CVE-2025-6710,7.5,HIGH,3.1
124,139.162.175.46,6.0.6,CVE-2025-6711,4.9,MEDIUM,3.1
125,139.162.175.46,6.0.6,CVE-2025-6713,6.5,MEDIUM,3.1
126,139.162.175.46,6.0.6,CVE-2025-6714,7.5,HIGH,3.1
127,139.162.175.46,6.0.6,CVE-2025-10059,6.5,MEDIUM,3.1
128,139.162.175.46,6.0.6,CVE-2025-10060,7.5,HIGH,3.1
129,139.162.175.46,6.0.6,CVE-2025-10061,6.5,MEDIUM,3.1
130,139.162.175.46,6.0.6,CVE-2025-12657,5.9,MEDIUM,4.0
131,139.162.175.46,6.0.6,CVE-2025-14847,8.7,HIGH,4.0
132,139.162.175.46,6.0.6,CVE-2026-8053,8.7,HIGH,4.0
133,139.162.175.46,6.0.6,CVE-2026-9753,7.2,HIGH,4.0
134,85.10.136.112,6.0.5,CVE-2023-1409,7.5,HIGH,3.1
135,85.10.136.112,6.0.5,CVE-2024-1351,9.8,CRITICAL,3.1
136,85.10.136.112,6.0.5,CVE-2024-3372,7.5,HIGH,3.1
137,85.10.136.112,6.0.5,CVE-2024-3374,5.3,MEDIUM,3.1
138,85.10.136.112,6.0.5,CVE-2024-6375,6.5,MEDIUM,3.1
139,85.10.136.112,6.0.5,CVE-2024-7553,7.8,HIGH,3.1
140,85.10.136.112,6.0.5,CVE-2024-6384,5.3,MEDIUM,3.1
141,85.10.136.112,6.0.5,CVE-2024-8305,6.5,MEDIUM,3.1
142,85.10.136.112,6.0.5,CVE-2024-10921,8.1,HIGH,3.1
143,85.10.136.112,6.0.5,CVE-2025-3082,5.4,MEDIUM,3.1
144,85.10.136.112,6.0.5,CVE-2025-3083,7.5,HIGH,3.1
145,85.10.136.112,6.0.5,CVE-2025-3084,6.5,MEDIUM,3.1
146,85.10.136.112,6.0.5,CVE-2025-3085,9.8,CRITICAL,3.1
147,85.10.136.112,6.0.5,CVE-2025-6706,8.8,HIGH,3.1
148,85.10.136.112,6.0.5,CVE-2025-6707,5.4,MEDIUM,3.1
149,85.10.136.112,6.0.5,CVE-2025-6709,7.5,HIGH,3.1
150,85.10.136.112,6.0.5,CVE-2025-6710,7.5,HIGH,3.1
151,85.10.136.112,6.0.5,CVE-2025-6711,4.9,MEDIUM,3.1
152,85.10.136.112,6.0.5,CVE-2025-6713,6.5,MEDIUM,3.1
153,85.10.136.112,6.0.5,CVE-2025-6714,7.5,HIGH,3.1
154,85.10.136.112,6.0.5,CVE-2025-10059,6.5,MEDIUM,3.1
155,85.10.136.112,6.0.5,CVE-2025-10060,7.5,HIGH,3.1
156,85.10.136.112,6.0.5,CVE-2025-10061,6.5,MEDIUM,3.1
157,85.10.136.112,6.0.5,CVE-2025-12657,5.9,MEDIUM,4.0
158,85.10.136.112,6.0.5,CVE-2025-14847,8.7,HIGH,4.0
159,85.10.136.112,6.0.5,CVE-2026-8053,8.7,HIGH,4.0
160,85.10.136.112,6.0.5,CVE-2026-9753,7.2,HIGH,4.0
161,195.162.69.201,8.0.8,CVE-2025-6712,6.5,MEDIUM,3.1
162,195.162.69.201,8.0.8,CVE-2025-6714,7.5,HIGH,3.1
163,195.162.69.201,8.0.8,CVE-2025-10060,7.5,HIGH,3.1
164,195.162.69.201,8.0.8,CVE-2025-10061,6.5,MEDIUM,3.1
165,195.162.69.201,8.0.8,CVE-2025-11979,6.5,MEDIUM,3.1
166,195.162.69.201,8.0.8,CVE-2025-12657,5.9,MEDIUM,4.0
167,195.162.69.201,8.0.8,CVE-2025-12893,2.3,LOW,4.0
168,195.162.69.201,8.0.8,CVE-2025-13507,7.1,HIGH,4.0
169,195.162.69.201,8.0.8,CVE-2025-13643,2.3,LOW,4.0
170,195.162.69.201,8.0.8,CVE-2025-13644,7.1,HIGH,4.0
171,195.162.69.201,8.0.8,CVE-2025-14345,2.3,LOW,4.0
172,195.162.69.201,8.0.8,CVE-2025-14847,8.7,HIGH,4.0
173,195.162.69.201,8.0.8,CVE-2026-1847,7.1,HIGH,4.0
174,195.162.69.201,8.0.8,CVE-2026-1848,8.2,HIGH,4.0
175,195.162.69.201,8.0.8,CVE-2026-1849,7.1,HIGH,4.0
176,195.162.69.201,8.0.8,CVE-2026-1850,7.1,HIGH,4.0
177,195.162.69.201,8.0.8,CVE-2026-25609,5.3,MEDIUM,4.0
178,195.162.69.201,8.0.8,CVE-2026-25610,7.1,HIGH,4.0
179,195.162.69.201,8.0.8,CVE-2026-25613,7.1,HIGH,4.0
180,195.162.69.201,8.0.8,CVE-2026-4147,7.1,HIGH,4.0
181,195.162.69.201,8.0.8,CVE-2026-4148,8.7,HIGH,4.0
182,195.162.69.201,8.0.8,CVE-2026-4358,6.1,MEDIUM,4.0
183,195.162.69.201,8.0.8,CVE-2026-5170,6.0,MEDIUM,4.0
184,195.162.69.201,8.0.8,CVE-2026-6914,7.1,HIGH,4.0
185,195.162.69.201,8.0.8,CVE-2026-6915,5.3,MEDIUM,4.0
186,195.162.69.201,8.0.8,CVE-2026-8053,8.7,HIGH,4.0
187,195.162.69.201,8.0.8,CVE-2026-8199,7.1,HIGH,4.0
188,195.162.69.201,8.0.8,CVE-2026-8200,4.8,MEDIUM,4.0
189,195.162.69.201,8.0.8,CVE-2026-8201,6.1,MEDIUM,4.0
190,195.162.69.201,8.0.8,CVE-2026-8202,5.3,MEDIUM,4.0
191,195.162.69.201,8.0.8,CVE-2026-9740,8.7,HIGH,4.0
192,195.162.69.201,8.0.8,CVE-2026-9741,7.1,HIGH,4.0
193,195.162.69.201,8.0.8,CVE-2026-9743,7.1,HIGH,4.0
194,195.162.69.201,8.0.8,CVE-2026-9746,7.1,HIGH,4.0
195,195.162.69.201,8.0.8,CVE-2026-9747,7.1,HIGH,4.0
196,195.162.69.201,8.0.8,CVE-2026-9748,7.1,HIGH,4.0
197,195.162.69.201,8.0.8,CVE-2026-9749,7.1,HIGH,4.0
198,195.162.69.201,8.0.8,CVE-2026-9750,7.1,HIGH,4.0
199,195.162.69.201,8.0.8,CVE-2026-9751,6.8,MEDIUM,4.0
200,195.162.69.201,8.0.8,CVE-2026-9752,7.1,HIGH,4.0
201,195.162.69.201,8.0.8,CVE-2026-9753,7.2,HIGH,4.0
202,185.5.206.139,6.0.25,CVE-2025-12657,5.9,MEDIUM,4.0
203,185.5.206.139,6.0.25,CVE-2025-14847,8.7,HIGH,4.0
204,185.5.206.139,6.0.25,CVE-2026-8053,8.7,HIGH,4.0
205,185.5.206.139,6.0.25,CVE-2026-9753,7.2,HIGH,4.0
206,45.91.135.7,8.0.10,CVE-2025-10060,7.5,HIGH,3.1
207,45.91.135.7,8.0.10,CVE-2025-10061,6.5,MEDIUM,3.1
208,45.91.135.7,8.0.10,CVE-2025-11979,6.5,MEDIUM,3.1
209,45.91.135.7,8.0.10,CVE-2025-12893,2.3,LOW,4.0
210,45.91.135.7,8.0.10,CVE-2025-13507,7.1,HIGH,4.0
211,45.91.135.7,8.0.10,CVE-2025-13643,2.3,LOW,4.0
212,45.91.135.7,8.0.10,CVE-2025-13644,7.1,HIGH,4.0
213,45.91.135.7,8.0.10,CVE-2025-14345,2.3,LOW,4.0
214,45.91.135.7,8.0.10,CVE-2025-14847,8.7,HIGH,4.0
215,45.91.135.7,8.0.10,CVE-2026-1847,7.1,HIGH,4.0
216,45.91.135.7,8.0.10,CVE-2026-1848,8.2,HIGH,4.0
217,45.91.135.7,8.0.10,CVE-2026-1849,7.1,HIGH,4.0
218,45.91.135.7,8.0.10,CVE-2026-1850,7.1,HIGH,4.0
219,45.91.135.7,8.0.10,CVE-2026-25609,5.3,MEDIUM,4.0
220,45.91.135.7,8.0.10,CVE-2026-25610,7.1,HIGH,4.0
221,45.91.135.7,8.0.10,CVE-2026-25613,7.1,HIGH,4.0
222,45.91.135.7,8.0.10,CVE-2026-4147,7.1,HIGH,4.0
223,45.91.135.7,8.0.10,CVE-2026-4148,8.7,HIGH,4.0
224,45.91.135.7,8.0.10,CVE-2026-4358,6.1,MEDIUM,4.0
225,45.91.135.7,8.0.10,CVE-2026-5170,6.0,MEDIUM,4.0
226,45.91.135.7,8.0.10,CVE-2026-6914,7.1,HIGH,4.0
227,45.91.135.7,8.0.10,CVE-2026-6915,5.3,MEDIUM,4.0
228,45.91.135.7,8.0.10,CVE-2026-8053,8.7,HIGH,4.0
229,45.91.135.7,8.0.10,CVE-2026-8199,7.1,HIGH,4.0
230,45.91.135.7,8.0.10,CVE-2026-8200,4.8,MEDIUM,4.0
231,45.91.135.7,8.0.10,CVE-2026-8201,6.1,MEDIUM,4.0
232,45.91.135.7,8.0.10,CVE-2026-8202,5.3,MEDIUM,4.0
233,45.91.135.7,8.0.10,CVE-2026-9740,8.7,HIGH,4.0
234,45.91.135.7,8.0.10,CVE-2026-9741,7.1,HIGH,4.0
235,45.91.135.7,8.0.10,CVE-2026-9743,7.1,HIGH,4.0
236,45.91.135.7,8.0.10,CVE-2026-9746,7.1,HIGH,4.0
237,45.91.135.7,8.0.10,CVE-2026-9747,7.1,HIGH,4.0
238,45.91.135.7,8.0.10,CVE-2026-9749,7.1,HIGH,4.0
239,45.91.135.7,8.0.10,CVE-2026-9750,7.1,HIGH,4.0
240,45.91.135.7,8.0.10,CVE-2026-9751,6.8,MEDIUM,4.0
241,45.91.135.7,8.0.10,CVE-2026-9752,7.1,HIGH,4.0
242,45.91.135.7,8.0.10,CVE-2026-9753,7.2,HIGH,4.0
243,212.80.215.42,unknown,,,,
244,139.162.11.68,3.0.14,CVE-2016-6494,5.5,MEDIUM,3.0
245,139.162.11.68,3.0.14,CVE-2020-7923,6.5,MEDIUM,3.1
246,139.162.11.68,3.0.14,CVE-2021-32036,7.1,HIGH,3.1
247,139.162.11.68,3.0.14,CVE-2026-9753,7.2,HIGH,4.0
248,139.162.3.23,5.0.11,CVE-2023-1409,7.5,HIGH,3.1
249,139.162.3.23,5.0.11,CVE-2024-1351,9.8,CRITICAL,3.1
250,139.162.3.23,5.0.11,CVE-2024-3372,7.5,HIGH,3.1
251,139.162.3.23,5.0.11,CVE-2024-3374,5.3,MEDIUM,3.1
252,139.162.3.23,5.0.11,CVE-2024-6375,6.5,MEDIUM,3.1
253,139.162.3.23,5.0.11,CVE-2024-7553,7.8,HIGH,3.1
254,139.162.3.23,5.0.11,CVE-2024-8207,6.7,MEDIUM,3.1
255,139.162.3.23,5.0.11,CVE-2024-10921,8.1,HIGH,3.1
256,139.162.3.23,5.0.11,CVE-2025-3082,5.4,MEDIUM,3.1
257,139.162.3.23,5.0.11,CVE-2025-3083,7.5,HIGH,3.1
258,139.162.3.23,5.0.11,CVE-2025-3084,6.5,MEDIUM,3.1
259,139.162.3.23,5.0.11,CVE-2025-3085,9.8,CRITICAL,3.1
260,139.162.3.23,5.0.11,CVE-2025-6707,5.4,MEDIUM,3.1
261,139.162.3.23,5.0.11,CVE-2025-14847,8.7,HIGH,4.0
262,139.162.3.23,5.0.11,CVE-2026-8053,8.7,HIGH,4.0
263,139.162.3.23,5.0.11,CVE-2026-9753,7.2,HIGH,4.0
264,139.162.16.23,7.0.31,CVE-2026-6914,7.1,HIGH,4.0
265,139.162.16.23,7.0.31,CVE-2026-6915,5.3,MEDIUM,4.0
266,139.162.16.23,7.0.31,CVE-2026-8053,8.7,HIGH,4.0
267,139.162.16.23,7.0.31,CVE-2026-8199,7.1,HIGH,4.0
