org,count
"AKAMAI-LINODE-AP - Akamai Connected Cloud, SG",788
"TRANSIP-AS - Signet B.V., NL",216
"SIAMDATA-TH - Siamdata Communication Co.,Ltd., TH",216
"PODAON - Podaon SIA, LV",164
"LEASEWEB-NL-AMS-01 - LeaseWeb Netherlands B.V., NL",132
"HOSTKEY-AS - HOSTKEY B.V., NL",120
"WorldStream - WorldStream B.V., NL",96
"PODAON - NovoServe B.V., NL",80
"MIRhosting - MIRhosting B.V., NL",64
"SERVERS-COM - Servers.com, Inc., US",60
"KPN - KPN B.V., NL",40
"AS-ITGLOBALCOM - ITGLOBAL.COM NL B.V., NL",40
"Odido - Odido Netherlands B.V., NL",28
"AS-HOSTINGER - Hostinger International Limited, CY",20
"Liteserver - The Infrastructure Group B.V., NL",16
"NTPCL-AS-AP - National Telecom Public Company Limited, TH",16
"TILAA - Tilaa B.V., NL",16
"ROYALE-AS - RoyaleHosting BV, NL",12
"HOSTNET - Hostnet B.V., NL",12
"Serverius-as - Serverius Holding B.V., NL",12
"CLDIN-NL - Your Hosting B.V., NL",12
"WEBZILLA - Webzilla B.V., NL",12
"services-1337-gmbh - 1337 Services GmbH, DE",12
"MC-NODE-AS - Stef Herman Anton Wolters trading as MC-Node, NL",12
"AS268624 - Gamers Club Ltda, BR",12
"podaon-pl-1 - Podaon SIA, LV",12
"RACKGENIUS - RackGenius, US",8
"ULTAHOST-AS - Ultahost, Inc., US",8
"TNF-AS - Vodafone Libertel B.V., NL",8
"SpectraIP - SpectraIP B.V., NL",8
"Equinix - Equinix (EMEA) Acquisition Enterprises B.V., NL",8
"as-istqservers - Istqrar for Servers Services Ltd, JO",8
"zap-hosting - ZAP-Hosting GmbH, DE",8
"BattleHost - KAUA REIS DA SILVA trading as BattleHost, BR",8
"ASN-ROUTELABEL - RouteLabel V.O.F., NL",8
"PFCLOUD - Pfcloud UG (haftungsbeschrankt), DE",8
"ASN-POSTA - Posta Slovenije d.o.o., SI",8
"CLOUDFORESTCOLTD-AS-AP - CLOUDFOREST CO., LTD., TH",8
"AS-ITGLOBALCOM-KZ - ITGLOBAL.COM RUS Ltd, RU",4
"HS-HOST9X - Host9x Web Solutions Limited, HK",4
"MIRHOSTING-NL - MIRhosting B.V., NL",4
"ETHERON - Lars Jannick Volkers trading as Etheron Hosting, NL",4
"FREEDOMINTERNET - Freedom Internet BV, NL",4
"hostbet - HostBet Cloud Technologies Private Limited, IN",4
"Infracom-AS - Infracom Holding B.V., NL",4
"InfoPact-AS - Infopact Netwerkdiensten B.V., NL",4
"Greenhost - Greenhost BV, NL",4
"VBOXX - vBoxx B.V., NL",4
"ANNEX-PRO-AS - OOO _SPETSTELECOM-YUG_, RU",4
"Summerhosting - SummerHosting sp. z o. o., PL",4
"REDHOSTING-AS - Enreach Netherlands B.V., NL",4
"INT-NETWORK - IP Volume inc, SC",4
"XTOM - xTom, HK",4
"NETIFACE-AS - Netiface Limited, GB",4
"CLOUDIE-AS-AP - Cloudie Limited, HK",4
"setanta - Setanta Investments B.V., NL",4
"ALTUS - AltusHost B.V., NL",4
"signetbreedband - Signet B.V., NL",4
"wilroff - WilroffReitsma B.V., NL",4
"VXbits - Vertixo BV, NL",4
"AS-ZXCS - Stichting DIGI NL, NL",4
"MOJHOST-EU - MOJOHOST B.V., NL",4
"FEROXHOSTING-NET - Luc Haaijer trading as Ferox Hosting, NL",4
"XTOM - xTom Pty Ltd, AU",4
"ASN-ROUTIT - Routit BV, NL",4
"DMA-AS - Shaun O_Neil, trading as DMA Computer Services, NL",4
"NETH-AS - NETH LLC, UA",4
"DUOCAST-AS - Duocast B.V., NL",4
"ADVANCEDHOSTERS-AS - DataWeb Global Group B.V., NL",4
"MYLOC-AS - WIIT AG, DE",4
"BUSINESSCONNECT - Today Concepts B.V., NL",4
"Snel - Snel.com B.V., NL",4
"ASSERVEREASY - Servereasy Srl, IT",4
"NOVOSERVE-AS - NovoServe B.V., NL",4
"NFORCE - NForce Entertainment B.V., NL",4
"GREENMINIHOST - Green Mini host BV, NL",4
"NEXTPERTISE - Nextpertise B.V., NL",4
"IP-EEND-AS - SURF B.V., NL",4
