ip,module,version,eol_status
136.144.174.183,mongodb,7.0.31,False
45.148.26.202,mongodb,3.6.3,2021-04-30
188.227.107.176,mongodb,4.4.3,2024-02-29
95.211.40.127,mongodb,7.0.20,False
79.170.93.136,mongodb,3.4.24,2020-01-31
37.97.238.160,mongodb,3.4.4,2020-01-31
185.95.14.177,mongodb,4.2.0,2023-04-30
139.162.175.46,mongodb,6.0.6,2025-07-31
85.10.136.112,mongodb,6.0.5,2025-07-31
195.162.69.201,mongodb,8.0.8,False
185.5.206.139,mongodb,6.0.25,2025-07-31
45.91.135.7,mongodb,8.0.10,False
212.80.215.42,mongodb,unknown,N/A
139.162.11.68,mongodb,3.0.14,2018-02-28
139.162.3.23,mongodb,5.0.11,2024-10-31
139.162.16.23,mongodb,7.0.31,False
139.162.189.84,mongodb,5.0.27,2024-10-31
83.149.110.94,mongodb,7.0.21,False
143.177.221.181,mongodb,8.0.8,False
185.209.22.34,mongodb,5.0.6,2024-10-31
188.137.241.56,mongodb,7.0.34,False
212.43.148.234,mongodb,6.0.28,2025-07-31
185.51.247.115,mongodb,7.0.31,False
89.149.243.12,mongodb,unknown,N/A
139.162.55.91,mongodb,5.0.13,2024-10-31
45.144.164.76,mongodb,4.4.30,2024-02-29
37.97.207.10,mongodb,6.0.22,2025-07-31
139.162.189.143,mongodb,4.4.29,2024-02-29
203.159.95.205,mongodb,unknown,N/A
31.186.173.198,mongodb,8.0.1,False
139.162.40.194,mongodb,6.0.16,2025-07-31
45.136.236.244,mongodb,3.6.18,2021-04-30
45.144.166.52,mongodb,3.4.16,2020-01-31
139.162.173.15,mongodb,6.0.16,2025-07-31
139.162.130.88,mongodb,6.0.16,2025-07-31
139.162.53.161,mongodb,6.0.16,2025-07-31
139.162.68.242,mongodb,6.0.5,2025-07-31
188.72.233.162,mongodb,8.0.6,False
46.17.100.34,mongodb,6.0.6,2025-07-31
145.14.10.39,mongodb,3.4.24,2020-01-31
139.162.228.201,mongodb,8.0.5,False
45.66.10.118,mongodb,6.0.27,2025-07-31
37.97.220.98,mongodb,4.4.5,2024-02-29
194.26.232.167,mongodb,7.0.34,False
37.48.90.176,mongodb,7.0.77,False
45.144.166.30,mongodb,3.4.16,2020-01-31
92.246.131.35,mongodb,8.0.12,False
176.57.69.180,mongodb,6.0.19,2025-07-31
45.154.24.19,mongodb,4.4.30,2024-02-29
95.215.204.222,mongodb,7.0.16,False
92.66.97.62,mongodb,4.4.22,2024-02-29
5.79.90.20,mongodb,7.0.28,False
185.203.240.157,mongodb,7.0.30,False
5.180.172.95,mongodb,6.0.26,2025-07-31
95.211.244.195,mongodb,3.4.4,2020-01-31
136.144.28.230,mongodb,4.0.2,2022-04-30
139.162.142.215,mongodb,6.0.26,2025-07-31
139.162.139.128,mongodb,5.0.17,2024-10-31
185.78.167.211,mongodb,4.4.28,2024-02-29
77.174.30.250,mongodb,7.0.19,False
194.247.183.225,mongodb,4.4.25,2024-02-29
95.211.178.204,mongodb,4.2.25,2023-04-30
37.34.59.200,mongodb,2.4.14,2013-03-31
139.162.91.194,mongodb,4.0.11,2022-04-30
195.114.237.187,mongodb,4.0.9,2022-04-30
85.17.178.11,mongodb,5.0.18,2024-10-31
45.91.135.41,mongodb,7.0.15,False
139.162.148.182,mongodb,6.0.16,2025-07-31
194.180.189.28,mongodb,7.0.30,False
195.182.200.12,mongodb,4.0.1,2022-04-30
80.89.237.175,mongodb,unknown,N/A
139.162.62.43,mongodb,6.0.23,2025-07-31
46.182.180.148,mongodb,3.0.0,2018-02-28
89.38.101.104,mongodb,7.0.30,False
143.179.182.76,mongodb,unknown,N/A
139.162.176.241,mongodb,5.0.27,2024-10-31
62.212.70.217,mongodb,7.0.24,False
45.154.24.59,mongodb,4.4.30,2024-02-29
91.211.249.228,mongodb,8.0.12,False
139.162.184.53,mongodb,7.0.32,False
45.90.116.132,mongodb,7.0.32,False
93.190.137.165,mongodb,8.0.3,False
212.7.207.40,mongodb,7.0.30,False
139.162.13.204,mongodb,5.0.15,2024-10-31
139.162.17.33,mongodb,6.0.6,2025-07-31
77.163.17.17,mongodb,4.4.17,2024-02-29
89.38.97.152,mongodb,7.0.20,False
139.162.96.237,mongodb,5.0.27,2024-10-31
139.162.12.54,mongodb,5.0.31,2024-10-31
5.182.209.24,mongodb,8.0.12,False
146.0.76.79,mongodb,6.0.28,2025-07-31
85.17.170.232,mongodb,6.0.15,2025-07-31
139.162.251.67,mongodb,5.0.2,2024-10-31
37.97.225.190,mongodb,4.2.1,2023-04-30
188.227.107.6,mongodb,6.0.7,2025-07-31
139.162.188.245,mongodb,6.0.6,2025-07-31
139.162.112.61,mongodb,5.0.27,2024-10-31
136.144.247.251,mongodb,4.4.15,2024-02-29
139.162.10.161,mongodb,4.0.2,2022-04-30
37.97.245.132,mongodb,2.6.12,2016-10-31
185.180.223.36,mongodb,unknown,N/A
139.162.28.46,mongodb,6.0.16,2025-07-31
139.162.176.130,mongodb,6.0.16,2025-07-31
139.162.232.15,mongodb,4.2.23,2023-04-30
188.137.254.31,mongodb,5.0.33,2024-10-31
194.26.232.205,mongodb,7.0.11,False
45.144.164.20,mongodb,4.4.6,2024-02-29
139.162.179.198,mongodb,5.0.27,2024-10-31
45.144.165.163,mongodb,7.0.29,False
37.97.207.253,mongodb,unknown,N/A
84.22.100.2,mongodb,unknown,N/A
45.88.106.14,mongodb,7.0.29,False
136.144.29.141,mongodb,4.0.2,2022-04-30
136.144.28.90,mongodb,4.0.10,2022-04-30
139.162.15.67,mongodb,7.0.30,False
139.162.189.230,mongodb,5.0.27,2024-10-31
139.162.41.61,mongodb,8.0.5,False
139.162.114.31,mongodb,3.6.8,2021-04-30
139.162.195.205,mongodb,7.0.12,False
95.211.145.211,mongodb,7.0.29,False
139.162.62.213,mongodb,5.0.11,2024-10-31
78.142.242.102,mongodb,7.0.28,False
139.162.53.12,mongodb,7.0.12,False
139.162.187.241,mongodb,unknown,N/A
185.206.215.31,mongodb,6.0.6,2025-07-31
45.130.137.26,mongodb,7.0.30,False
139.162.117.167,mongodb,4.1.13,N/A
86.107.77.160,mongodb,7.0.34,False
212.80.215.122,mongodb,8.0.3,False
139.162.61.108,mongodb,6.0.16,2025-07-31
80.114.122.141,mongodb,6.0.4,2025-07-31
139.162.160.23,mongodb,3.4.9,2020-01-31
37.148.132.236,mongodb,7.0.28,False
