version,cve_id,base_score,base_severity,cvss_version
6.0.16,CVE-2024-8305,6.5,MEDIUM,3.1
6.0.16,CVE-2024-10921,8.1,HIGH,3.1
6.0.16,CVE-2025-3082,5.4,MEDIUM,3.1
6.0.16,CVE-2025-3083,7.5,HIGH,3.1
6.0.16,CVE-2025-3084,6.5,MEDIUM,3.1
6.0.16,CVE-2025-3085,9.8,CRITICAL,3.1
6.0.16,CVE-2025-6706,8.8,HIGH,3.1
6.0.16,CVE-2025-6707,5.4,MEDIUM,3.1
6.0.16,CVE-2025-6709,7.5,HIGH,3.1
6.0.16,CVE-2025-6710,7.5,HIGH,3.1
6.0.16,CVE-2025-6711,4.9,MEDIUM,3.1
6.0.16,CVE-2025-6713,6.5,MEDIUM,3.1
6.0.16,CVE-2025-6714,7.5,HIGH,3.1
6.0.16,CVE-2025-10059,6.5,MEDIUM,3.1
6.0.16,CVE-2025-10060,7.5,HIGH,3.1
6.0.16,CVE-2025-10061,6.5,MEDIUM,3.1
6.0.16,CVE-2025-12657,5.9,MEDIUM,4.0
6.0.16,CVE-2025-14847,8.7,HIGH,4.0
6.0.16,CVE-2026-8053,8.7,HIGH,4.0
6.0.16,CVE-2026-9753,7.2,HIGH,4.0
5.0.27,CVE-2024-10921,8.1,HIGH,3.1
5.0.27,CVE-2025-3082,5.4,MEDIUM,3.1
5.0.27,CVE-2025-3083,7.5,HIGH,3.1
5.0.27,CVE-2025-3084,6.5,MEDIUM,3.1
5.0.27,CVE-2025-3085,9.8,CRITICAL,3.1
5.0.27,CVE-2025-6707,5.4,MEDIUM,3.1
5.0.27,CVE-2025-14847,8.7,HIGH,4.0
5.0.27,CVE-2026-8053,8.7,HIGH,4.0
5.0.27,CVE-2026-9753,7.2,HIGH,4.0
4.4.29,CVE-2025-14847,8.7,HIGH,4.0
4.4.29,CVE-2026-9753,7.2,HIGH,4.0
7.0.31,CVE-2026-6914,7.1,HIGH,4.0
7.0.31,CVE-2026-6915,5.3,MEDIUM,4.0
7.0.31,CVE-2026-8053,8.7,HIGH,4.0
7.0.31,CVE-2026-8199,7.1,HIGH,4.0
7.0.31,CVE-2026-8200,4.8,MEDIUM,4.0
7.0.31,CVE-2026-8201,6.1,MEDIUM,4.0
7.0.31,CVE-2026-8202,5.3,MEDIUM,4.0
7.0.31,CVE-2026-9740,8.7,HIGH,4.0
7.0.31,CVE-2026-9741,7.1,HIGH,4.0
7.0.31,CVE-2026-9746,7.1,HIGH,4.0
7.0.31,CVE-2026-9747,7.1,HIGH,4.0
7.0.31,CVE-2026-9748,7.1,HIGH,4.0
7.0.31,CVE-2026-9749,7.1,HIGH,4.0
7.0.31,CVE-2026-9750,7.1,HIGH,4.0
7.0.31,CVE-2026-9751,6.8,MEDIUM,4.0
7.0.31,CVE-2026-9752,7.1,HIGH,4.0
7.0.31,CVE-2026-9753,7.2,HIGH,4.0
7.0.12,CVE-2024-8305,6.5,MEDIUM,3.1
7.0.12,CVE-2024-10921,8.1,HIGH,3.1
7.0.12,CVE-2025-0755,7.5,HIGH,3.1
7.0.12,CVE-2025-3082,5.4,MEDIUM,3.1
7.0.12,CVE-2025-3083,7.5,HIGH,3.1
7.0.12,CVE-2025-3084,6.5,MEDIUM,3.1
7.0.12,CVE-2025-3085,9.8,CRITICAL,3.1
7.0.12,CVE-2025-6706,8.8,HIGH,3.1
7.0.12,CVE-2025-6707,5.4,MEDIUM,3.1
7.0.12,CVE-2025-6709,7.5,HIGH,3.1
7.0.12,CVE-2025-6710,7.5,HIGH,3.1
7.0.12,CVE-2025-6711,4.9,MEDIUM,3.1
7.0.12,CVE-2025-6713,6.5,MEDIUM,3.1
7.0.12,CVE-2025-6714,7.5,HIGH,3.1
7.0.12,CVE-2025-10059,6.5,MEDIUM,3.1
7.0.12,CVE-2025-10060,7.5,HIGH,3.1
7.0.12,CVE-2025-10061,6.5,MEDIUM,3.1
7.0.12,CVE-2025-11979,6.5,MEDIUM,3.1
7.0.12,CVE-2025-12657,5.9,MEDIUM,4.0
7.0.12,CVE-2025-12893,2.3,LOW,4.0
7.0.12,CVE-2025-13507,7.1,HIGH,4.0
7.0.12,CVE-2025-13643,2.3,LOW,4.0
7.0.12,CVE-2025-13644,7.1,HIGH,4.0
7.0.12,CVE-2025-14345,2.3,LOW,4.0
7.0.12,CVE-2025-14847,8.7,HIGH,4.0
7.0.12,CVE-2026-1847,7.1,HIGH,4.0
7.0.12,CVE-2026-1848,8.2,HIGH,4.0
7.0.12,CVE-2026-1849,7.1,HIGH,4.0
7.0.12,CVE-2026-25609,5.3,MEDIUM,4.0
7.0.12,CVE-2026-25610,7.1,HIGH,4.0
7.0.12,CVE-2026-25613,7.1,HIGH,4.0
7.0.12,CVE-2026-4147,7.1,HIGH,4.0
7.0.12,CVE-2026-4148,8.7,HIGH,4.0
7.0.12,CVE-2026-4358,6.1,MEDIUM,4.0
7.0.12,CVE-2026-5170,6.0,MEDIUM,4.0
7.0.12,CVE-2026-6914,7.1,HIGH,4.0
7.0.12,CVE-2026-6915,5.3,MEDIUM,4.0
7.0.12,CVE-2026-8053,8.7,HIGH,4.0
7.0.12,CVE-2026-8199,7.1,HIGH,4.0
7.0.12,CVE-2026-8200,4.8,MEDIUM,4.0
7.0.12,CVE-2026-8201,6.1,MEDIUM,4.0
7.0.12,CVE-2026-8202,5.3,MEDIUM,4.0
7.0.12,CVE-2026-9740,8.7,HIGH,4.0
7.0.12,CVE-2026-9741,7.1,HIGH,4.0
7.0.12,CVE-2026-9746,7.1,HIGH,4.0
7.0.12,CVE-2026-9747,7.1,HIGH,4.0
7.0.12,CVE-2026-9748,7.1,HIGH,4.0
7.0.12,CVE-2026-9749,7.1,HIGH,4.0
7.0.12,CVE-2026-9750,7.1,HIGH,4.0
7.0.12,CVE-2026-9751,6.8,MEDIUM,4.0
7.0.12,CVE-2026-9752,7.1,HIGH,4.0
7.0.12,CVE-2026-9753,7.2,HIGH,4.0
6.0.27,CVE-2025-12657,5.9,MEDIUM,4.0
6.0.27,CVE-2026-8053,8.7,HIGH,4.0
6.0.27,CVE-2026-9753,7.2,HIGH,4.0
7.0.30,CVE-2026-4147,7.1,HIGH,4.0
7.0.30,CVE-2026-4148,8.7,HIGH,4.0
7.0.30,CVE-2026-4358,6.1,MEDIUM,4.0
7.0.30,CVE-2026-5170,6.0,MEDIUM,4.0
7.0.30,CVE-2026-6914,7.1,HIGH,4.0
7.0.30,CVE-2026-6915,5.3,MEDIUM,4.0
7.0.30,CVE-2026-8053,8.7,HIGH,4.0
7.0.30,CVE-2026-8199,7.1,HIGH,4.0
