version,count,cves,cve_count
unknown,35255,none,0
1.18.0,5775,CVE-2021-23017; CVE-2023-44487,2
1.24.0,3697,CVE-2023-44487,1
1.22.1,1318,CVE-2023-44487,1
1.20.1,577,CVE-2023-44487,1
1.14.0,474,CVE-2019-20372; CVE-2021-23017,2
1.28.0,434,none,0
1.22.0,430,CVE-2023-44487,1
1.26.3,363,none,0
1.10.3,358,CVE-2017-7529; CVE-2021-23017,2
1.14.2,340,CVE-2019-20372; CVE-2021-23017,2
1.14.1,238,CVE-2019-20372; CVE-2021-23017,2
1.26.2,231,none,0
1.29.8,199,none,0
1.27.5,197,none,0
1.4.5,191,CVE-2014-0133,1
1.28.1,185,none,0
1.16.1,178,CVE-2021-23017,1
1.20.2,167,CVE-2023-44487,1
1.28.3,165,none,0
1.30.0,159,none,0
1.28.2,119,none,0
1.29.6,117,none,0
1.12.2,113,none,0
1.30.1,106,none,0
1.4.6,97,none,0
1.26.1,92,none,0
1.31.1,92,none,0
1.6.2,87,none,0
1.31.0,82,none,0
1.29.5,77,none,0
1.29.1,71,none,0
1.29.3,70,none,0
1.29.4,66,none,0
1.29.7,66,none,0
1.25.3,66,none,0
1.30.2,64,none,0
1.23.2,53,none,0
1.29.0,52,none,0
1.27.4,49,none,0
1.25.5,45,none,0
1.25.4,38,none,0
1.26.0,37,none,0
1.27.3,37,none,0
1.27.0,35,none,0
1.21.6,33,none,0
1.16.0,31,none,0
1.19.6,30,none,0
1.10.2,28,none,0
1.27.1,26,none,0
1.7.10,24,none,0
1.15.8,24,none,0
1.23.3,24,none,0
1.27.2,24,none,0
1.10.1,24,none,0
1.17.3,22,none,0
1.8.0,22,none,0
1.25.1,22,none,0
1.23.1,21,none,0
1.8.1,19,none,0
1.25.2,19,none,0
1.23.4,19,none,0
1.29.2,17,none,0
1.21.5,16,none,0
1.21.1,16,none,0
1.19.10,15,none,0
1.17.6,15,none,0
1.25.0,15,none,0
1.19.3,13,none,0
1.1.19,13,none,0
1.17.8,13,none,0
1.21.3,13,none,0
1.17.10,11,none,0
1.10.0,11,none,0
1.21.2,10,none,0
1.21.0,10,none,0
1.12.1,10,none,0
1.17.5,10,none,0
1.19.0,9,none,0
1.12.0,9,none,0
1.15.9,9,none,0
1.13.12,8,none,0
1.15.5,7,none,0
1.19.8,7,none,0
1.2.1,7,none,0
1.15.0,7,none,0
1.15.12,6,none,0
1.13.6,6,none,0
1.13.3,6,none,0
1.17.7,6,none,0
1.17.9,6,none,0
1.21.4,5,none,0
1.0.15,5,none,0
1.6.0,5,none,0
1.15.6,5,none,0
1.20.0,5,CVE-2021-23017; CVE-2023-44487,2
1.19.2,4,none,0
1.9.9,4,none,0
1.7.7,4,none,0
1.4.4,4,none,0
1.13.8,4,none,0
1.19.5,4,none,0
1.6.1,4,none,0
1.4.7,3,none,0
1.11.9,3,none,0
1.6.3,3,none,0
1.4.2,3,none,0
1.19.1,3,none,0
1.5.13,3,none,0
1.19.7,3,none,0
1.11.8,3,none,0
1.19.4,3,none,0
1.13.5,3,none,0
1.9.15,3,none,0
1.11.5,3,none,0
1.15.2,3,none,0
1.23.0,3,none,0
1.7.6,2,none,0
1.9.3,2,none,0
1.9.10,2,none,0
1.15.3,2,none,0
1.15.10,2,none,0
1.0.10,2,none,0
0.8.54,2,none,0
1.11.3,2,none,0
1.7.12,2,none,0
1.0.5,2,none,0
1.7.5,2,none,0
1.1.1,2,none,0
1.9.11,2,none,0
1.17.4,2,none,0
1.13.1,2,none,0
1.11.1,1,none,0
1.5.1,1,none,0
1.17.1,1,none,0
0.8.52,1,none,0
0.8.53,1,none,0
1.31.0.1,1,none,0
1.15.1,1,none,0
1.15.11,1,none,0
0.3.33,1,none,0
1.7.1,1,none,0
1.19.9,1,none,0
1.0.11,1,none,0
1.23.3.5,1,none,0
1.13.11,1,none,0
1.15.7,1,none,0
1.9.1,1,none,0
1.11.2,1,none,0
1.4.1,1,none,0
0.7.67,1,none,0
1.0.14,1,none,0
1.2.0,1,none,0
1.17.2,1,none,0
1.11.10,1,none,0
1.9.5,1,none,0
1.11.7,1,none,0
