cve_id,count
CVE-2026-49975,17601
CVE-2025-23419,14584
CVE-2023-44487,14390
CVE-2022-41741,9718
CVE-2022-41742,9718
CVE-2021-3618,9178
CVE-2021-23017,8431
CVE-2019-20372,2515
CVE-2018-16845,2194
CVE-2019-9511,1767
CVE-2019-9513,1767
CVE-2019-9516,1767
CVE-2017-20005,1111
CVE-2018-16844,1104
CVE-2018-16843,1096
CVE-2017-7529,988
CVE-2016-1247,567
CVE-2016-0742,505
CVE-2016-0746,505
CVE-2016-0747,505
CVE-2016-4450,503
CVE-2014-3616,352
CVE-2014-0133,297
CVE-2013-4547,43
CVE-2013-0337,40
CVE-2011-4963,32
CVE-2013-2070,21
CVE-2012-1180,13
CVE-2011-4315,9
CVE-2014-3556,9
CVE-2010-4180,6
CVE-2012-2089,4
CVE-2009-3555,2
CVE-2009-2629,1
CVE-2009-3896,1
CVE-2009-3898,1
