ip,version,cve_id,base_score,base_severity,cvss_version
116.203.73.95,1.22.1,CVE-2023-44487,7.5,HIGH,3.1
116.203.73.95,1.22.1,CVE-2025-23419,5.3,MEDIUM,4.0
116.203.73.95,1.22.1,CVE-2026-49975,7.5,HIGH,3.1
116.202.98.85,unknown,,,,
145.100.190.13,unknown,,,,
142.93.232.28,1.17.3,CVE-2019-20372,5.3,MEDIUM,3.1
142.93.232.28,1.17.3,CVE-2021-23017,7.7,HIGH,3.1
142.93.232.28,1.17.3,CVE-2021-3618,7.4,HIGH,3.1
142.93.232.28,1.17.3,CVE-2022-41741,7.8,HIGH,3.1
142.93.232.28,1.17.3,CVE-2022-41742,7.1,HIGH,3.1
142.93.232.28,1.17.3,CVE-2023-44487,7.5,HIGH,3.1
142.93.232.28,1.17.3,CVE-2025-23419,5.3,MEDIUM,4.0
142.93.232.28,1.17.3,CVE-2026-49975,7.5,HIGH,3.1
141.138.142.123,unknown,,,,
136.144.186.144,unknown,,,,
149.210.162.89,1.6.2,CVE-2016-0742,7.5,HIGH,3.1
149.210.162.89,1.6.2,CVE-2016-0746,9.8,CRITICAL,3.1
149.210.162.89,1.6.2,CVE-2016-0747,5.3,MEDIUM,3.1
149.210.162.89,1.6.2,CVE-2016-4450,7.5,HIGH,3.1
149.210.162.89,1.6.2,CVE-2016-1247,7.8,HIGH,3.1
149.210.162.89,1.6.2,CVE-2017-7529,7.5,HIGH,3.1
149.210.162.89,1.6.2,CVE-2018-16845,6.1,MEDIUM,3.1
149.210.162.89,1.6.2,CVE-2019-20372,5.3,MEDIUM,3.1
149.210.162.89,1.6.2,CVE-2021-23017,7.7,HIGH,3.1
149.210.162.89,1.6.2,CVE-2017-20005,9.8,CRITICAL,3.1
149.210.162.89,1.6.2,CVE-2021-3618,7.4,HIGH,3.1
149.210.162.89,1.6.2,CVE-2022-41741,7.8,HIGH,3.1
149.210.162.89,1.6.2,CVE-2022-41742,7.1,HIGH,3.1
149.210.162.89,1.6.2,CVE-2026-49975,7.5,HIGH,3.1
136.144.185.174,unknown,,,,
136.144.215.151,unknown,,,,
139.162.205.121,unknown,,,,
178.22.63.224,unknown,,,,
178.22.57.219,unknown,,,,
178.22.85.10,unknown,,,,
178.22.85.11,unknown,,,,
178.22.56.28,unknown,,,,
178.22.59.35,unknown,,,,
178.22.85.8,unknown,,,,
178.22.85.67,unknown,,,,
178.22.85.66,unknown,,,,
178.22.85.65,unknown,,,,
178.22.85.9,unknown,,,,
178.22.85.68,unknown,,,,
18.194.246.108,unknown,,,,
18.195.132.40,unknown,,,,
185.173.20.179,unknown,,,,
185.173.22.163,unknown,,,,
185.173.22.165,unknown,,,,
185.206.180.185,unknown,,,,
185.254.175.53,unknown,,,,
185.71.62.121,unknown,,,,
185.206.180.167,unknown,,,,
149.210.248.240,unknown,,,,
185.86.18.126,unknown,,,,
185.86.18.28,unknown,,,,
147.181.2.56,unknown,,,,
188.208.37.85,unknown,,,,
193.34.167.73,unknown,,,,
188.208.37.54,unknown,,,,
188.166.7.9,unknown,,,,
188.166.11.173,unknown,,,,
185.159.242.123,unknown,,,,
188.66.19.90,unknown,,,,
185.213.172.178,unknown,,,,
188.66.19.72,unknown,,,,
194.104.118.55,unknown,,,,
193.37.204.204,1.28.0,CVE-2026-49975,7.5,HIGH,3.1
188.166.39.46,unknown,,,,
185.134.197.195,1.14.2,CVE-2018-16845,6.1,MEDIUM,3.1
185.134.197.195,1.14.2,CVE-2019-9511,7.5,HIGH,3.1
185.134.197.195,1.14.2,CVE-2019-9513,7.5,HIGH,3.1
185.134.197.195,1.14.2,CVE-2019-9516,6.5,MEDIUM,3.1
185.134.197.195,1.14.2,CVE-2019-20372,5.3,MEDIUM,3.1
185.134.197.195,1.14.2,CVE-2021-23017,7.7,HIGH,3.1
185.134.197.195,1.14.2,CVE-2021-3618,7.4,HIGH,3.1
185.134.197.195,1.14.2,CVE-2022-41741,7.8,HIGH,3.1
185.134.197.195,1.14.2,CVE-2022-41742,7.1,HIGH,3.1
185.134.197.195,1.14.2,CVE-2023-44487,7.5,HIGH,3.1
185.134.197.195,1.14.2,CVE-2025-23419,5.3,MEDIUM,4.0
185.134.197.195,1.14.2,CVE-2026-49975,7.5,HIGH,3.1
213.136.29.197,1.24.0,CVE-2023-44487,7.5,HIGH,3.1
213.136.29.197,1.24.0,CVE-2025-23419,5.3,MEDIUM,4.0
213.136.29.197,1.24.0,CVE-2026-49975,7.5,HIGH,3.1
131.237.78.232,unknown,,,,
213.132.192.138,unknown,,,,
3.121.101.18,unknown,,,,
194.104.118.60,1.26.3,CVE-2026-49975,7.5,HIGH,3.1
37.97.223.237,unknown,,,,
35.195.131.124,unknown,,,,
35.214.253.85,unknown,,,,
35.214.169.246,unknown,,,,
217.160.0.146,unknown,,,,
35.214.132.5,unknown,,,,
37.97.233.55,unknown,,,,
5.157.87.204,1.20.1,CVE-2021-3618,7.4,HIGH,3.1
5.157.87.204,1.20.1,CVE-2022-41741,7.8,HIGH,3.1
5.157.87.204,1.20.1,CVE-2022-41742,7.1,HIGH,3.1
5.157.87.204,1.20.1,CVE-2023-44487,7.5,HIGH,3.1
5.157.87.204,1.20.1,CVE-2025-23419,5.3,MEDIUM,4.0
5.157.87.204,1.20.1,CVE-2026-49975,7.5,HIGH,3.1
37.128.144.136,unknown,,,,
37.97.254.27,unknown,,,,
45.79.250.224,unknown,,,,
164.92.159.139,unknown,,,,
51.124.60.36,unknown,,,,
77.241.81.44,unknown,,,,
77.241.85.78,unknown,,,,
63.178.162.23,unknown,,,,
185.53.179.146,unknown,,,,
84.241.179.158,unknown,,,,
79.125.18.42,1.28.3,CVE-2026-49975,7.5,HIGH,3.1
85.209.111.76,unknown,,,,
188.166.53.162,1.17.3,CVE-2019-20372,5.3,MEDIUM,3.1
188.166.53.162,1.17.3,CVE-2021-23017,7.7,HIGH,3.1
188.166.53.162,1.17.3,CVE-2021-3618,7.4,HIGH,3.1
188.166.53.162,1.17.3,CVE-2022-41741,7.8,HIGH,3.1
188.166.53.162,1.17.3,CVE-2022-41742,7.1,HIGH,3.1
188.166.53.162,1.17.3,CVE-2023-44487,7.5,HIGH,3.1
188.166.53.162,1.17.3,CVE-2025-23419,5.3,MEDIUM,4.0
188.166.53.162,1.17.3,CVE-2026-49975,7.5,HIGH,3.1
86.105.246.68,unknown,,,,
87.233.75.84,unknown,,,,
86.105.246.251,unknown,,,,
85.159.98.204,unknown,,,,
87.236.96.151,unknown,,,,
93.186.176.74,unknown,,,,
93.119.3.231,unknown,,,,
34.73.32.206,unknown,,,,
93.186.178.212,unknown,,,,
93.92.103.90,unknown,,,,
95.215.186.11,unknown,,,,
93.92.103.119,unknown,,,,
93.92.103.84,unknown,,,,
93.92.103.116,unknown,,,,
95.215.186.24,unknown,,,,
93.186.176.90,unknown,,,,
94.228.136.169,unknown,,,,
89.106.200.1,unknown,,,,
93.92.103.89,unknown,,,,
93.92.103.97,unknown,,,,
93.92.103.118,unknown,,,,
83.217.77.248,unknown,,,,
93.92.103.99,unknown,,,,
93.92.103.107,unknown,,,,
34.44.116.130,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
34.44.116.130,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
34.44.116.130,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
34.44.116.130,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
34.44.116.130,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
34.44.116.130,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
34.44.116.130,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
145.23.3.97,unknown,,,,
167.99.43.136,unknown,,,,
185.181.104.242,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
185.181.104.242,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
185.181.104.242,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
185.181.104.242,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
185.181.104.242,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
185.181.104.242,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
185.181.104.242,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
201.229.0.18,unknown,,,,
109.235.78.22,unknown,,,,
109.72.86.8,unknown,,,,
5.255.112.184,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
5.255.112.184,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
5.255.112.184,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
5.255.112.184,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
5.255.112.184,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
5.255.112.184,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
5.255.112.184,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
194.242.15.84,unknown,,,,
136.144.253.96,unknown,,,,
141.101.241.71,1.6.2,CVE-2016-0742,7.5,HIGH,3.1
141.101.241.71,1.6.2,CVE-2016-0746,9.8,CRITICAL,3.1
141.101.241.71,1.6.2,CVE-2016-0747,5.3,MEDIUM,3.1
141.101.241.71,1.6.2,CVE-2016-4450,7.5,HIGH,3.1
141.101.241.71,1.6.2,CVE-2016-1247,7.8,HIGH,3.1
141.101.241.71,1.6.2,CVE-2017-7529,7.5,HIGH,3.1
141.101.241.71,1.6.2,CVE-2018-16845,6.1,MEDIUM,3.1
141.101.241.71,1.6.2,CVE-2019-20372,5.3,MEDIUM,3.1
141.101.241.71,1.6.2,CVE-2021-23017,7.7,HIGH,3.1
141.101.241.71,1.6.2,CVE-2017-20005,9.8,CRITICAL,3.1
141.101.241.71,1.6.2,CVE-2021-3618,7.4,HIGH,3.1
141.101.241.71,1.6.2,CVE-2022-41741,7.8,HIGH,3.1
141.101.241.71,1.6.2,CVE-2022-41742,7.1,HIGH,3.1
141.101.241.71,1.6.2,CVE-2026-49975,7.5,HIGH,3.1
2.57.239.71,unknown,,,,
213.174.138.231,1.22.0,CVE-2022-41741,7.8,HIGH,3.1
213.174.138.231,1.22.0,CVE-2022-41742,7.1,HIGH,3.1
213.174.138.231,1.22.0,CVE-2023-44487,7.5,HIGH,3.1
213.174.138.231,1.22.0,CVE-2025-23419,5.3,MEDIUM,4.0
213.174.138.231,1.22.0,CVE-2026-49975,7.5,HIGH,3.1
202.148.53.98,unknown,,,,
213.152.183.53,unknown,,,,
88.211.233.140,1.24.0,CVE-2023-44487,7.5,HIGH,3.1
88.211.233.140,1.24.0,CVE-2025-23419,5.3,MEDIUM,4.0
88.211.233.140,1.24.0,CVE-2026-49975,7.5,HIGH,3.1
185.244.218.82,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
185.244.218.82,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
185.244.218.82,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
185.244.218.82,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
185.244.218.82,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
185.244.218.82,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
185.244.218.82,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
185.80.233.68,unknown,,,,
92.108.166.86,unknown,,,,
212.7.200.133,unknown,,,,
45.91.119.4,unknown,,,,
170.62.105.42,unknown,,,,
109.72.86.89,unknown,,,,
31.44.0.49,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
31.44.0.49,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
31.44.0.49,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
31.44.0.49,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
31.44.0.49,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
31.44.0.49,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
31.44.0.49,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
5.182.208.61,unknown,,,,
37.128.148.107,unknown,,,,
84.83.237.131,unknown,,,,
188.209.213.233,1.29.6,CVE-2026-49975,7.5,HIGH,3.1
5.255.99.167,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
5.255.99.167,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
5.255.99.167,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
5.255.99.167,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
5.255.99.167,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
5.255.99.167,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
5.255.99.167,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
178.255.196.120,unknown,,,,
89.105.213.38,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
89.105.213.38,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
89.105.213.38,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
89.105.213.38,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
89.105.213.38,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
89.105.213.38,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
89.105.213.38,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
145.38.207.133,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
145.38.207.133,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
145.38.207.133,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
145.38.207.133,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
145.38.207.133,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
145.38.207.133,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
145.38.207.133,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
139.162.227.103,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
139.162.227.103,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
139.162.227.103,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
139.162.227.103,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
139.162.227.103,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
139.162.227.103,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
139.162.227.103,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
194.180.189.237,1.28.0,CVE-2026-49975,7.5,HIGH,3.1
213.227.143.142,unknown,,,,
62.112.11.244,unknown,,,,
141.101.249.12,1.14.2,CVE-2018-16845,6.1,MEDIUM,3.1
141.101.249.12,1.14.2,CVE-2019-9511,7.5,HIGH,3.1
141.101.249.12,1.14.2,CVE-2019-9513,7.5,HIGH,3.1
141.101.249.12,1.14.2,CVE-2019-9516,6.5,MEDIUM,3.1
141.101.249.12,1.14.2,CVE-2019-20372,5.3,MEDIUM,3.1
141.101.249.12,1.14.2,CVE-2021-23017,7.7,HIGH,3.1
141.101.249.12,1.14.2,CVE-2021-3618,7.4,HIGH,3.1
141.101.249.12,1.14.2,CVE-2022-41741,7.8,HIGH,3.1
141.101.249.12,1.14.2,CVE-2022-41742,7.1,HIGH,3.1
141.101.249.12,1.14.2,CVE-2023-44487,7.5,HIGH,3.1
141.101.249.12,1.14.2,CVE-2025-23419,5.3,MEDIUM,4.0
141.101.249.12,1.14.2,CVE-2026-49975,7.5,HIGH,3.1
77.251.181.125,unknown,,,,
185.91.12.17,unknown,,,,
185.85.17.171,unknown,,,,
185.92.149.74,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
