org,count
"TRANSIP-AS - Signet B.V., NL",22076
"LEASEWEB-NL-AMS-01 - LeaseWeb Netherlands B.V., NL",19664
"AKAMAI-LINODE-AP - Akamai Connected Cloud, SG",19000
"KPN - KPN B.V., NL",11688
"TNF-AS - Vodafone Libertel B.V., NL",11316
"ADVANCEDHOSTERS-AS - DataWeb Global Group B.V., NL",6460
"PODAON - Podaon SIA, LV",6424
"HOSTKEY-AS - HOSTKEY B.V., NL",5600
"Odido - Odido Netherlands B.V., NL",5508
"WorldStream - WorldStream B.V., NL",5408
"CLDIN-NL - Your Hosting B.V., NL",4380
"HOSTNET - Hostnet B.V., NL",3724
"SERVERS-COM - Servers.com, Inc., US",3284
"COGENT-174 - Cogent Communications, LLC, US",3252
"PODAON - NovoServe B.V., NL",3048
"KEEN-AS - KeenSystems B.V., NL",2916
"KABELFOON - DELTA Fiber Nederland B.V., NL",2564
"ROYALE-AS - RoyaleHosting BV, NL",2444
"NL-BIT - BIT BV, NL",2228
"ONECOM - One.com A/S, DK",2172
"WEBZILLA - Webzilla B.V., NL",2108
"Liteserver - The Infrastructure Group B.V., NL",2060
"AS-ITGLOBALCOM - ITGLOBAL.COM NL B.V., NL",1756
"NFORCE - NForce Entertainment B.V., NL",1720
"NABL-AS - N-able Acquisition Company B.V., NL",1508
"SIAMDATA-TH - Siamdata Communication Co.,Ltd., TH",1432
"TILAA - Tilaa B.V., NL",1276
"XL-AS - Signet B.V., NL",1208
"SURFNET-NL - SURF B.V., NL",1204
"UNISERVER-AS - Uniserver Internet B.V., NL",1080
"Serverius-as - Serverius Holding B.V., NL",1040
"FREEDOMINTERNET - Freedom Internet BV, NL",1028
"SpectraIP - SpectraIP B.V., NL",972
"InfoPact-AS - Infopact Netwerkdiensten B.V., NL",968
"NEDZONE-AS - Eurofiber Cloud Infra B.V., NL",900
"Greenhost - Greenhost BV, NL",676
"CYSO-AS - Cyso Group B.V., NL",668
"GLOBALLAYER - Global Layer B.V., NL",668
"podaon-pl-1 - Podaon SIA, LV",664
"NOVOSERVE-AS - NovoServe B.V., NL",648
"WEDARE - We Dare B.V., NL",636
"i3Dnet - i3D.net B.V, NL",636
NA,624
"onehostplanet - Onehostplanet s.r.o., CZ",588
"COMBELL-AS - Combell NV, BE",584
"TrueServer-AS - TrueFullstaq B.V., NL",572
"CJ2-AS - CJ2 Hosting B.V., NL",568
"SERVIHOSTING-AS - AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL, ES",556
"INT-NETWORK - IP Volume inc, SC",552
"PREVIDER-AS - Previder B.V., NL",548
"NL-SOLCON - Solcon Internetdiensten B.V., NL",540
"A2B - A2B IP B.V., NL",532
"Equinix - Equinix (EMEA) Acquisition Enterprises B.V., NL",532
"VikingHost - Viking Host B.V., NL",520
"FUNDAMENTS-AS - Fundaments B.V., NL",508
"PROLOCATION - Prolocation B.V., NL",496
"NEXTPERTISE - Nextpertise B.V., NL",460
"METAREGISTRAR - Metaregistrar B.V., NL",456
"ABELOHOST - Abelohost BV, NL",452
"Interconnect - ML Consultancy, NL",444
"VOIZXL-AS - voizXL B.V., NL",440
"AMAZON-02 - Amazon.com, Inc., US",424
"Snel - Snel.com B.V., NL",412
"ONE-NETWORK - dogado GmbH, DE",412
"AS-EUROFIBER - Eurofiber Nederland BV, NL",400
"WGIX - WGIX, US",392
"ASN-ROUTIT - Routit BV, NL",384
"Procolix - ProcoliX B.V., NL",380
"TUDELFT-NL - SURF B.V., NL",372
"I-3 - N-able Technologies, Inc., US",364
"FREE RANGE CLOUD - Free Range Cloud Hosting Inc., CA",364
"ASDETUK - Hivelocity LLC, US",364
"INTERNET-SPEECH-AND-PRIVACY-LLC - IncogNet LLC, US",356
"DUOCAST-AS - Duocast B.V., NL",348
"ASN-ROUTELABEL - RouteLabel V.O.F., NL",348
"Dedifix - Dedifix BV, NL",344
"TUXIS - The Internet Engineering Group B.V., NL",328
"FIBO - Fiber Operator B.V., NL",320
"REDHOSTING-AS - Enreach Netherlands B.V., NL",316
"quickhostuk - QuickHostUK Limited, GB",316
