ip,status_code,server_header,version,eol_status,cves,cve_count
116.203.73.95,200,nginx/1.22.1,1.22.1,2023-04-11,CVE-2023-44487,1
116.202.98.85,200,nginx,unknown,N/A,none,0
145.100.190.13,200,nginx,unknown,N/A,none,0
142.93.232.28,404,nginx/1.17.3,1.17.3,2020-04-20,none,0
141.138.142.123,403,nginx,unknown,N/A,none,0
136.144.186.144,200,nginx,unknown,N/A,none,0
149.210.162.89,200,nginx/1.6.2,1.6.2,2015-04-21,none,0
136.144.185.174,200,nginx,unknown,N/A,none,0
136.144.215.151,200,nginx,unknown,N/A,none,0
139.162.205.121,403,nginx,unknown,N/A,none,0
178.22.63.224,200,nginx,unknown,N/A,none,0
178.22.57.219,200,nginx,unknown,N/A,none,0
178.22.85.10,403,nginx,unknown,N/A,none,0
178.22.85.11,403,nginx,unknown,N/A,none,0
178.22.56.28,200,nginx,unknown,N/A,none,0
178.22.59.35,200,nginx,unknown,N/A,none,0
178.22.85.8,403,nginx,unknown,N/A,none,0
178.22.85.67,403,nginx,unknown,N/A,none,0
178.22.85.66,403,nginx,unknown,N/A,none,0
178.22.85.65,403,nginx,unknown,N/A,none,0
178.22.85.9,403,nginx,unknown,N/A,none,0
178.22.85.68,403,nginx,unknown,N/A,none,0
18.194.246.108,404,nginx,unknown,N/A,none,0
18.195.132.40,404,nginx,unknown,N/A,none,0
185.173.20.179,204,nginx,unknown,N/A,none,0
185.173.22.163,204,nginx,unknown,N/A,none,0
185.173.22.165,204,nginx,unknown,N/A,none,0
185.206.180.185,200,nginx,unknown,N/A,none,0
185.254.175.53,200,nginx,unknown,N/A,none,0
185.71.62.121,200,nginx,unknown,N/A,none,0
185.206.180.167,200,nginx,unknown,N/A,none,0
149.210.248.240,200,nginx,unknown,N/A,none,0
185.86.18.126,200,nginx,unknown,N/A,none,0
185.86.18.28,200,nginx,unknown,N/A,none,0
147.181.2.56,400,nginx,unknown,N/A,none,0
188.208.37.85,200,nginx,unknown,N/A,none,0
193.34.167.73,200,nginx,unknown,N/A,none,0
188.208.37.54,200,nginx,unknown,N/A,none,0
188.166.7.9,403,nginx,unknown,N/A,none,0
188.166.11.173,200,nginx,unknown,N/A,none,0
185.159.242.123,200,nginx,unknown,N/A,none,0
