cve_id,count
CVE-2023-5678,3042
CVE-2024-0727,3042
CVE-2025-68160,2947
CVE-2025-69421,2947
CVE-2026-22796,2947
CVE-2026-28388,2947
CVE-2026-28389,2947
CVE-2026-28390,2947
CVE-2026-34180,2943
CVE-2026-42766,2943
CVE-2026-45447,2943
CVE-2026-7383,2943
CVE-2026-9076,2943
CVE-2025-69418,2493
CVE-2025-69419,2493
CVE-2025-69420,2493
CVE-2026-22795,2493
CVE-2026-28387,2493
CVE-2023-3817,1711
CVE-2023-0464,1710
CVE-2023-0465,1710
CVE-2023-0466,1710
CVE-2023-2650,1710
CVE-2022-4304,1696
CVE-2023-0215,1696
CVE-2023-0286,1696
CVE-2022-1292,1681
CVE-2022-2068,1681
CVE-2023-4807,1257
CVE-2022-4450,1242
CVE-2022-2097,1236
CVE-2022-0778,807
CVE-2021-4160,791
CVE-2021-3712,786
CVE-2021-23840,596
CVE-2021-23841,596
CVE-2020-1971,593
CVE-2017-3735,551
CVE-2019-1552,547
CVE-2019-1547,547
CVE-2019-1563,547
CVE-2019-1551,546
CVE-2018-0734,516
CVE-2020-1968,454
CVE-2018-5407,442
CVE-2018-0737,440
CVE-2018-0732,440
CVE-2019-1559,437
CVE-2018-0739,432
CVE-2017-3738,430
CVE-2017-3736,428
CVE-2017-3737,425
CVE-2025-15467,350
CVE-2024-6119,341
CVE-2021-3711,332
CVE-2016-7056,161
CVE-2021-4044,161
CVE-2016-2106,153
CVE-2016-2107,153
CVE-2016-2109,153
CVE-2016-2176,153
CVE-2015-3195,149
CVE-2015-4000,145
CVE-2016-2108,145
CVE-2015-0209,144
CVE-2015-0286,144
CVE-2015-0287,144
CVE-2015-0288,144
CVE-2015-0289,144
CVE-2015-0293,144
CVE-2015-1788,144
CVE-2015-1789,144
CVE-2015-1790,144
CVE-2015-1791,144
CVE-2015-1792,144
CVE-2016-0703,144
CVE-2016-0704,144
CVE-2021-3449,143
CVE-2010-5298,142
CVE-2014-3567,141
CVE-2014-3568,141
CVE-2014-0224,140
CVE-2014-3470,140
CVE-2015-0292,140
CVE-2014-8176,140
CVE-2014-3570,138
CVE-2014-3571,138
CVE-2014-3572,138
CVE-2014-8275,138
CVE-2015-0204,138
CVE-2013-6449,131
CVE-2014-3566,121
CVE-2014-0195,120
CVE-2014-0221,120
CVE-2014-3505,120
CVE-2014-3506,120
CVE-2014-3507,120
CVE-2014-3508,120
CVE-2014-3510,120
CVE-2016-2177,108
CVE-2016-2178,108
CVE-2016-2180,108
CVE-2016-2179,108
CVE-2016-2181,108
CVE-2016-2182,108
CVE-2016-6302,108
CVE-2016-6303,108
CVE-2016-6304,106
CVE-2016-6306,106
CVE-2016-2183,104
CVE-2023-6129,104
CVE-2023-5363,101
CVE-2019-1549,96
CVE-2016-2105,93
CVE-2015-3196,92
CVE-2019-1543,91
CVE-2014-0198,89
CVE-2014-3509,89
CVE-2014-3511,89
CVE-2014-3512,89
CVE-2015-3194,89
CVE-2015-3197,89
CVE-2016-0800,89
CVE-2016-0702,89
CVE-2016-0705,89
CVE-2016-0797,89
CVE-2016-0798,89
CVE-2016-0799,89
CVE-2016-2842,89
CVE-2015-0205,86
CVE-2015-0206,86
CVE-2014-3513,83
CVE-2014-5139,82
CVE-2018-0735,82
CVE-2014-0160,79
CVE-2013-6450,78
CVE-2023-3446,73
CVE-2013-4353,71
CVE-2015-3216,70
CVE-2011-4108,60
CVE-2011-4576,60
CVE-2011-4577,60
CVE-2011-4619,60
CVE-2012-0027,60
CVE-2014-0076,60
CVE-2010-4252,59
CVE-2011-1945,59
CVE-2013-0166,57
CVE-2012-0884,50
CVE-2012-1165,50
CVE-2012-2110,50
CVE-2012-2333,50
CVE-2010-4180,49
CVE-2011-1473,49
CVE-2010-0742,48
CVE-2009-4355,47
CVE-2006-7250,43
CVE-2010-0433,42
CVE-2009-3555,41
CVE-2009-3245,41
CVE-2008-5077,40
CVE-2009-0590,40
CVE-2009-0789,40
CVE-2008-7270,40
CVE-2011-4354,40
CVE-2013-0169,37
CVE-2007-3108,33
CVE-2011-3210,29
CVE-2011-4109,23
CVE-2006-4339,21
CVE-2006-2940,21
CVE-2009-1377,21
CVE-2009-1387,21
CVE-2009-2409,21
CVE-2005-2946,20
CVE-2009-1378,20
CVE-2004-0975,19
CVE-2005-1797,19
CVE-2008-0166,19
CVE-2009-1386,19
CVE-2002-0655,18
CVE-2002-0656,18
CVE-2002-0659,18
CVE-2003-0078,18
CVE-2003-0131,18
CVE-2003-0147,18
CVE-2021-23839,17
CVE-2010-3864,16
CVE-2021-3450,16
CVE-2007-5135,14
CVE-2007-4995,13
CVE-2016-7055,12
CVE-2020-1967,11
CVE-2016-8610,11
CVE-2017-3731,10
CVE-2011-0014,9
CVE-2010-0740,9
CVE-2017-3732,8
CVE-2008-0891,7
CVE-2008-1672,7
CVE-2008-1678,7
CVE-2009-1379,6
CVE-2010-1633,6
CVE-2011-3207,6
CVE-2025-15468,5
CVE-2025-66199,5
CVE-2026-31789,5
CVE-2026-31790,5
CVE-2018-0733,5
CVE-2014-3569,2
CVE-2015-1794,2
CVE-2015-3193,2
CVE-2016-0701,2
CVE-2005-2969,2
CVE-2006-2937,2
CVE-2006-3738,2
CVE-2006-4343,2
CVE-2010-2939,1
CVE-2011-5095,1
CVE-2023-2975,1
CVE-2012-2686,1
