,ip,version,cve_id,base_score,base_severity,cvss_version
0,ip,version,,,,
1,37.48.72.226,1.0.2k-fips,CVE-2023-5678,5.3,MEDIUM,3.1
2,37.48.72.226,1.0.2k-fips,CVE-2024-0727,5.5,MEDIUM,3.1
3,37.48.72.226,1.0.2k-fips,CVE-2025-68160,4.7,MEDIUM,3.1
4,37.48.72.226,1.0.2k-fips,CVE-2025-69421,7.5,HIGH,3.1
5,37.48.72.226,1.0.2k-fips,CVE-2026-22796,5.3,MEDIUM,3.1
6,37.48.72.226,1.0.2k-fips,CVE-2026-28388,7.5,HIGH,3.1
7,37.48.72.226,1.0.2k-fips,CVE-2026-28389,7.5,HIGH,3.1
8,37.48.72.226,1.0.2k-fips,CVE-2026-28390,7.5,HIGH,3.1
9,37.48.72.226,1.0.2k-fips,CVE-2026-34180,7.5,HIGH,3.1
10,37.48.72.226,1.0.2k-fips,CVE-2026-42766,5.9,MEDIUM,3.1
11,37.48.72.226,1.0.2k-fips,CVE-2026-45447,8.8,HIGH,3.1
12,37.48.72.226,1.0.2k-fips,CVE-2026-7383,8.1,HIGH,3.1
13,37.48.72.226,1.0.2k-fips,CVE-2026-9076,7.5,HIGH,3.1
14,45.149.89.242,3.0.19,CVE-2026-28387,8.1,HIGH,3.1
15,45.149.89.242,3.0.19,CVE-2026-28388,7.5,HIGH,3.1
16,45.149.89.242,3.0.19,CVE-2026-28389,7.5,HIGH,3.1
17,45.149.89.242,3.0.19,CVE-2026-28390,7.5,HIGH,3.1
18,45.149.89.242,3.0.19,CVE-2026-34180,7.5,HIGH,3.1
19,45.149.89.242,3.0.19,CVE-2026-42766,5.9,MEDIUM,3.1
20,45.149.89.242,3.0.19,CVE-2026-45447,8.8,HIGH,3.1
21,45.149.89.242,3.0.19,CVE-2026-7383,8.1,HIGH,3.1
22,45.149.89.242,3.0.19,CVE-2026-9076,7.5,HIGH,3.1
23,45.135.98.134,1.1.1n,CVE-2023-4807,7.8,HIGH,3.1
24,45.135.98.134,1.1.1n,CVE-2023-5678,5.3,MEDIUM,3.1
25,45.135.98.134,1.1.1n,CVE-2024-0727,5.5,MEDIUM,3.1
26,45.135.98.134,1.1.1n,CVE-2025-68160,4.7,MEDIUM,3.1
27,45.135.98.134,1.1.1n,CVE-2025-69418,4.0,MEDIUM,3.1
28,45.135.98.134,1.1.1n,CVE-2025-69419,7.4,HIGH,3.1
29,45.135.98.134,1.1.1n,CVE-2025-69420,7.5,HIGH,3.1
30,45.135.98.134,1.1.1n,CVE-2025-69421,7.5,HIGH,3.1
31,45.135.98.134,1.1.1n,CVE-2026-22795,5.5,MEDIUM,3.1
32,45.135.98.134,1.1.1n,CVE-2026-22796,5.3,MEDIUM,3.1
33,45.135.98.134,1.1.1n,CVE-2026-28387,8.1,HIGH,3.1
34,45.135.98.134,1.1.1n,CVE-2026-28388,7.5,HIGH,3.1
35,45.135.98.134,1.1.1n,CVE-2026-28389,7.5,HIGH,3.1
36,45.135.98.134,1.1.1n,CVE-2026-28390,7.5,HIGH,3.1
37,45.135.98.134,1.1.1n,CVE-2026-34180,7.5,HIGH,3.1
38,45.135.98.134,1.1.1n,CVE-2026-42766,5.9,MEDIUM,3.1
39,45.135.98.134,1.1.1n,CVE-2026-45447,8.8,HIGH,3.1
40,45.135.98.134,1.1.1n,CVE-2026-7383,8.1,HIGH,3.1
41,45.135.98.134,1.1.1n,CVE-2026-9076,7.5,HIGH,3.1
42,46.235.40.38,3.5.5,CVE-2026-28387,8.1,HIGH,3.1
43,46.235.40.38,3.5.5,CVE-2026-28388,7.5,HIGH,3.1
44,46.235.40.38,3.5.5,CVE-2026-28389,7.5,HIGH,3.1
45,46.235.40.38,3.5.5,CVE-2026-28390,7.5,HIGH,3.1
46,46.235.40.38,3.5.5,CVE-2026-34180,7.5,HIGH,3.1
47,46.235.40.38,3.5.5,CVE-2026-42766,5.9,MEDIUM,3.1
48,46.235.40.38,3.5.5,CVE-2026-45447,8.8,HIGH,3.1
49,46.235.40.38,3.5.5,CVE-2026-7383,8.1,HIGH,3.1
50,46.235.40.38,3.5.5,CVE-2026-9076,7.5,HIGH,3.1
51,45.141.18.109,1.1.1n,CVE-2023-4807,7.8,HIGH,3.1
52,45.141.18.109,1.1.1n,CVE-2023-5678,5.3,MEDIUM,3.1
53,45.141.18.109,1.1.1n,CVE-2024-0727,5.5,MEDIUM,3.1
54,45.141.18.109,1.1.1n,CVE-2025-68160,4.7,MEDIUM,3.1
55,45.141.18.109,1.1.1n,CVE-2025-69418,4.0,MEDIUM,3.1
56,45.141.18.109,1.1.1n,CVE-2025-69419,7.4,HIGH,3.1
57,45.141.18.109,1.1.1n,CVE-2025-69420,7.5,HIGH,3.1
58,45.141.18.109,1.1.1n,CVE-2025-69421,7.5,HIGH,3.1
59,45.141.18.109,1.1.1n,CVE-2026-22795,5.5,MEDIUM,3.1
60,45.141.18.109,1.1.1n,CVE-2026-22796,5.3,MEDIUM,3.1
61,45.141.18.109,1.1.1n,CVE-2026-28387,8.1,HIGH,3.1
62,45.141.18.109,1.1.1n,CVE-2026-28388,7.5,HIGH,3.1
63,45.141.18.109,1.1.1n,CVE-2026-28389,7.5,HIGH,3.1
64,45.141.18.109,1.1.1n,CVE-2026-28390,7.5,HIGH,3.1
65,45.141.18.109,1.1.1n,CVE-2026-34180,7.5,HIGH,3.1
