org,count
"Beyond_ASN - Beyond Relationship Marketing GmbH, DE",3644
"TRANSIP-AS - Signet B.V., NL",296
"LEASEWEB-NL-AMS-01 - LeaseWeb Netherlands B.V., NL",262
"CONTABO - Contabo GmbH, DE",238
"AKAMAI-LINODE-AP - Akamai Connected Cloud, SG",231
"KPN - KPN B.V., NL",159
"netbase - NetBase BV, NL",140
"SMARTMEDIANETWORK-1-AS - DEMENIN B.V., NL",94
"WorldStream - WorldStream B.V., NL",90
"CLDIN-NL - Your Hosting B.V., NL",84
"TNF-AS - Vodafone Libertel B.V., NL",68
"Odido - Odido Netherlands B.V., NL",60
"GLOBALLAYER - Global Layer B.V., NL",59
"SIAMDATA-TH - Siamdata Communication Co.,Ltd., TH",57
"Equinix - Equinix (EMEA) Acquisition Enterprises B.V., NL",48
"Liteserver - The Infrastructure Group B.V., NL",40
"TILAA - Tilaa B.V., NL",38
"SURFNET-NL - SURF B.V., NL",37
"BattleHost - KAUA REIS DA SILVA trading as BattleHost, BR",35
"ADVANCEDHOSTERS-AS - DataWeb Global Group B.V., NL",35
"PODAON - NovoServe B.V., NL",27
"NFORCE - NForce Entertainment B.V., NL",24
"KABELFOON - DELTA Fiber Nederland B.V., NL",23
"Serverius-as - Serverius Holding B.V., NL",22
"PUBLIEKE-OMROEP-AS - Stichting Nederlandse Publieke Omroep, NL",21
"QSP-AS - Quality Service Provider BV, NL",20
"i3Dnet - i3D.net B.V, NL",19
"ONEOF1SERVERS - 1 of 1 Servers Corp, US",19
"ROYALE-AS - RoyaleHosting BV, NL",18
"NEDZONE-AS - Eurofiber Cloud Infra B.V., NL",16
"TUDELFT-NL - SURF B.V., NL",16
"AS-EUROFIBER - Eurofiber Nederland BV, NL",15
"NL-SOLCON - Solcon Internetdiensten B.V., NL",14
"CLOUDFORESTCOLTD-AS-AP - CLOUDFOREST CO., LTD., TH",13
"A2B - A2B IP B.V., NL",13
"FREEDOMINTERNET - Freedom Internet BV, NL",13
"INT-NETWORK - IP Volume inc, SC",13
"FYFEWEB - FyfeWeb Ltd, GB",12
"SERVIHOSTING-AS - AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL, ES",12
"WEBZILLA - Webzilla B.V., NL",11
"UNISERVER-AS - Uniserver Internet B.V., NL",11
"NTPCL-AS-AP - National Telecom Public Company Limited, TH",11
"TFLABS - Tristan ter Haar trading as TFLabs, NL",11
"PROLOCATION - Prolocation B.V., NL",10
"onecentral - onecentral B.V., NL",10
"ASN-ROUTIT - Routit BV, NL",10
"ASSERVEREASY - Servereasy Srl, IT",10
"HOSTKEY-AS - HOSTKEY B.V., NL",9
"CITIC - CITIC Telecom CPC Netherlands B.V., NL",9
"BlackGATE - BlackGATE B.V., NL",9
"QUPRA-AS - Qupra B.V., NL",9
"PODAON - Podaon SIA, LV",8
"HOSTNET - Hostnet B.V., NL",8
"QONNECTED-AS - Qonnected B.V., NL",8
"SpectraIP - SpectraIP B.V., NL",8
"NL-BIT - BIT BV, NL",8
"neveltech - Al-marhalla Al-taliya Information Technology Holding Company Ltd, SA",8
"AS-ZXCS - Stichting DIGI NL, NL",7
"THREE-W-INFRA-AS - 3W Infra B.V., NL",7
"NL-INTERMAX - Intermax Group B.V., NL",7
