ip,software,version,eol_status
203.159.93.33,nginx/1.18.0 (Ubuntu),1.18.0,2021-04-20
37.97.201.218,nginx/1.24.0 (Ubuntu),1.24.0,2024-04-23
85.146.63.198,nginx,unknown,N/A
5.79.67.50,nginx/1.18.0 (Ubuntu),1.18.0,2021-04-20
37.97.229.185,nginx/1.24.0 (Ubuntu),1.24.0,2024-04-23
37.74.9.217,nginx/1.19.10,1.19.10,2021-05-25
80.89.238.19,nginx/1.18.0 (Ubuntu),1.18.0,2021-04-20
37.148.132.182,nginx/1.18.0 (Ubuntu),1.18.0,2021-04-20
185.228.81.211,nginx/1.18.0 (Ubuntu),1.18.0,2021-04-20
37.97.134.207,nginx,unknown,N/A
94.215.29.160,nginx,unknown,N/A
185.133.36.114,nginx/1.10.3 (Ubuntu),1.10.3,2017-04-12
83.81.138.22,nginx,unknown,N/A
185.95.24.193,nginx,unknown,N/A
80.89.237.32,nginx/1.18.0 (Ubuntu),1.18.0,2021-04-20
37.48.104.121,nginx,unknown,N/A
81.92.188.19,nginx,unknown,N/A
84.22.120.60,nginx/1.18.0 (Ubuntu),1.18.0,2021-04-20
212.69.84.87,nginx,unknown,N/A
37.128.148.242,nginx,unknown,N/A
84.22.97.24,nginx,unknown,N/A
85.10.149.40,nginx/1.18.0 (Ubuntu),1.18.0,2021-04-20
185.173.21.112,nginx,unknown,N/A
185.232.86.116,nginx,unknown,N/A
185.95.24.158,nginx,unknown,N/A
85.10.155.26,nginx,unknown,N/A
139.162.201.47,nginx,unknown,N/A
5.11.83.232,nginx/1.20.1,1.20.1,2022-05-24
130.37.53.146,nginx/1.24.0 (Ubuntu),1.24.0,2024-04-23
194.15.46.62,nginx,unknown,N/A
139.162.117.104,nginx,unknown,N/A
185.57.11.222,nginx,unknown,N/A
139.162.16.253,nginx,unknown,N/A
185.248.171.5,nginx/1.20.1,1.20.1,2022-05-24
149.210.203.154,nginx/1.24.0 (Ubuntu),1.24.0,2024-04-23
185.109.216.203,nginx/1.24.0 (Ubuntu),1.24.0,2024-04-23
185.94.239.207,nginx/1.4.6 (Ubuntu),1.4.6,2014-04-24
87.212.252.219,nginx,unknown,N/A
83.172.188.39,nginx,unknown,N/A
80.57.137.177,nginx,unknown,N/A
45.143.250.203,nginx/1.22.0,1.22.0,2023-04-11
185.107.46.112,nginx/1.18.0,1.18.0,2021-04-20
185.107.68.52,nginx/1.2.1,1.2.1,2013-04-24
62.195.0.103,nginx,unknown,N/A
37.97.174.16,nginx,unknown,N/A
