ip,software,version,eol_status
37.48.72.226,Apache/2.4.6 (CentOS) PHP/7.4.33 OpenSSL/1.0.2k-fips,1.0.2k,2019-12-31
45.149.89.242,Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8,3.0.19,False
45.135.98.134,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
46.235.40.38,Apache/2.4.62 (AlmaLinux) OpenSSL/3.5.5 mod_fcgid/2.3.9,3.5.5,False
45.141.18.109,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.149.89.149,Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8,3.0.19,False
45.141.16.116,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
88.208.28.106,Apache/2.2.15 (CentOS) PHP/5.6.37 mod_rpaf/0.6 mod_ssl/2.2.15 OpenSSL/1.0.1e-fips,1.0.1e,2016-12-31
45.135.97.101,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.141.207.125,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.141.17.206,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
194.151.97.130,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.4.16,1.0.2k,2019-12-31
45.140.8.112,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.152.9.11,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
185.188.74.153,Apache/2.4.52 (Unix) OpenSSL/3.2.2 PHP/7.3.33,3.2.2,2025-11-23
46.161.222.60,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.136.67.171,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.141.18.119,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
139.162.45.169,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.3.33,1.0.2k,2019-12-31
185.222.33.78,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.135.96.128,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
84.247.13.172,Apache/2.4.37 (centos) OpenSSL/1.1.1k mod_fcgid/2.3.9,1.1.1k,2023-09-11
217.18.70.135,Apache/2.4.62 (AlmaLinux) OpenSSL/3.5.1,3.5.1,False
45.150.128.127,Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30,3.1.3,2025-03-14
77.162.173.215,Apache/2.4.62 (AlmaLinux) OpenSSL/3.5.1,3.5.1,False
128.127.106.33,Apache/2.4.62 (AlmaLinux) OpenSSL/3.5.1,3.5.1,False
45.140.8.123,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
46.161.222.207,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
185.222.32.95,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.141.18.106,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.149.91.82,Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8,3.0.19,False
45.136.66.4,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
46.161.223.72,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.135.96.145,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.141.207.43,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.135.96.223,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.149.91.27,Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8,3.0.19,False
45.136.66.27,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
185.222.34.147,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
185.222.35.187,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
37.48.72.99,Apache/2.4.6 (CentOS) PHP/7.4.33 OpenSSL/1.0.2k-fips,1.0.2k,2019-12-31
193.162.138.137,Apache/2.4.46 (Unix) OpenSSL/1.1.1 PHP/7.3.22,1.1.1,2023-09-11
91.244.205.144,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
185.222.34.26,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
46.161.222.187,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.149.88.84,Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8,3.0.19,False
45.141.63.196,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
91.244.206.115,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.141.206.66,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
84.22.97.60,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.1.33,1.0.2k,2019-12-31
185.135.240.71,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips mod_fcgid/2.3.9 PHP/8.3.8,1.0.2k,2019-12-31
139.162.244.86,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.6.40,1.0.2k,2019-12-31
185.222.32.63,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.152.8.105,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
193.162.138.103,Apache/2.4.46 (Unix) OpenSSL/1.1.1 PHP/7.3.22,1.1.1,2023-09-11
185.222.34.199,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
46.235.42.104,Apache/2.4.62 (AlmaLinux) OpenSSL/3.5.5 mod_fcgid/2.3.9,3.5.5,False
45.141.206.115,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.149.90.34,Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8,3.0.19,False
185.188.72.210,Apache/2.4.52 (Unix) OpenSSL/3.2.2 PHP/7.3.33,3.2.2,2025-11-23
193.162.138.233,Apache/2.4.46 (Unix) OpenSSL/1.1.1 PHP/7.3.22,1.1.1,2023-09-11
45.152.8.135,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.141.62.236,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
93.119.0.29,Apache/2.4.62 (FreeBSD) OpenSSL/3.0.13,3.0.13,False
193.162.138.54,Apache/2.4.46 (Unix) OpenSSL/1.1.1 PHP/7.3.22,1.1.1,2023-09-11
45.149.90.197,Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8,3.0.19,False
195.62.23.58,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
83.98.144.20,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips,1.0.2k,2019-12-31
134.19.182.83,Apache/2.4.62 (AlmaLinux) OpenSSL/3.5.1,3.5.1,False
45.152.9.172,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
185.229.35.164,Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.2.12,3.1.3,2025-03-14
185.165.240.65,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.2.34,1.0.2k,2019-12-31
37.252.122.43,Apache/2.4.37 (centos) OpenSSL/1.1.1c,1.1.1c,2023-09-11
