org,count
"PROLOCATION - Prolocation B.V., NL",9
"TRANSIP-AS - Signet B.V., NL",8
"NL-BIT - BIT BV, NL",8
"COMBELL-AS - Combell NV, BE",7
"AMAZON-02 - Amazon.com, Inc., US",5
"FUNDAMENTS-AS - Fundaments B.V., NL",5
"NL-INTERMAX - Intermax Group B.V., NL",5
"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",4
"YOUTUBE - Google Ireland Limited, IE",3
"GOOGLE - Google LLC, US",3
"GOOGLE-CLOUD-PLATFORM - Google LLC, US",3
"CLDIN-NL - Your Hosting B.V., NL",2
"AKAMAI-LINODE-AP - Akamai Connected Cloud, SG",2
"MinVenW-RWS - MinVenW-RWS, NL",2
"Publicloud - Public Cloud Ltd., BG",2
"NextGenWebs-NL - NextGenWebs, S.L., ES",1
"Snel - Snel.com B.V., NL",1
"FAELIX - Faelix Limited, GB",1
"LEASEWEB-NL-AMS-01 - LeaseWeb Netherlands B.V., NL",1
"Serverius-as - Serverius Holding B.V., NL",1
"IONOS-AS - IONOS SE, DE",1
"CJ2-AS - CJ2 Hosting B.V., NL",1
"HOSTNET - Hostnet B.V., NL",1
"LOGIUS-AZ-1 - baten-lastendienst Logius, NL",1
"SURFNET-NL - SURF B.V., NL",1
"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",1
"ASBKN - Belastingdienst, NL",1
"INWX - InterNetworX Management GmbH, DE",1
"PREVIDER-AS - Previder B.V., NL",1
"Procolix - ProcoliX B.V., NL",1
