ip,software,version,eol_status
149.210.162.89,nginx/1.6.2,1.6.2,2015-04-21
139.162.205.121,nginx,unknown,unknown
145.100.190.13,nginx,unknown,unknown
147.181.2.56,nginx,unknown,unknown
141.138.142.123,nginx,unknown,unknown
178.22.57.219,nginx,unknown,unknown
178.22.63.224,nginx,unknown,unknown
178.22.85.65,nginx,unknown,unknown
178.22.85.11,nginx,unknown,unknown
178.22.56.28,nginx,unknown,unknown
178.22.85.10,nginx,unknown,unknown
178.22.59.35,nginx,unknown,unknown
178.22.85.8,nginx,unknown,unknown
178.22.85.66,nginx,unknown,unknown
178.22.85.68,nginx,unknown,unknown
149.210.248.240,nginx,unknown,unknown
178.22.85.67,nginx,unknown,unknown
178.22.85.9,nginx,unknown,unknown
18.195.132.40,nginx,unknown,unknown
185.173.22.163,nginx,unknown,unknown
185.173.22.165,nginx,unknown,unknown
185.173.20.179,nginx,unknown,unknown
185.206.180.167,nginx,unknown,unknown
185.206.180.185,nginx,unknown,unknown
185.254.175.53,nginx,unknown,unknown
185.71.62.121,nginx,unknown,unknown
185.86.18.126,nginx,unknown,unknown
188.166.11.173,nginx,unknown,unknown
185.86.18.28,nginx,unknown,unknown
188.166.7.9,nginx,unknown,unknown
18.194.246.108,nginx,unknown,unknown
193.34.167.73,nginx,unknown,unknown
188.208.37.85,nginx,unknown,unknown
185.213.172.178,nginx,unknown,unknown
188.208.37.54,nginx,unknown,unknown
185.159.242.123,nginx,unknown,unknown
188.166.39.46,nginx,unknown,unknown
194.104.118.55,nginx,unknown,unknown
185.134.197.195,nginx/1.14.2,1.14.2,2019-04-23
188.66.19.90,nginx,unknown,unknown
188.66.19.72,nginx,unknown,unknown
193.37.204.204,nginx/1.28.0,1.28.0,2026-04-14
213.136.29.197,nginx/1.24.0 (Ubuntu),1.24.0,2024-04-23
3.121.101.18,nginx,unknown,unknown
217.160.0.146,nginx,unknown,unknown
194.104.118.60,nginx/1.26.3,1.26.3,2025-04-23
213.132.192.138,nginx,unknown,unknown
35.195.131.124,nginx,unknown,unknown
37.97.223.237,nginx,unknown,unknown
37.128.144.136,nginx,unknown,unknown
35.214.169.246,nginx,unknown,unknown
37.97.233.55,nginx,unknown,unknown
35.214.253.85,nginx,unknown,unknown
35.214.132.5,nginx,unknown,unknown
5.157.87.204,nginx/1.20.1,1.20.1,2022-05-24
45.79.250.224,nginx,unknown,unknown
37.97.254.27,nginx,unknown,unknown
188.166.53.162,nginx,unknown,unknown
34.73.32.206,nginx,unknown,unknown
77.241.81.44,nginx,unknown,unknown
77.241.85.78,nginx,unknown,unknown
63.178.162.23,nginx,unknown,unknown
79.125.18.42,nginx/1.30.1,1.30.1,False
51.124.60.36,nginx,unknown,unknown
85.159.98.204,nginx,unknown,unknown
34.44.116.130,nginx/1.18.0 (Ubuntu),1.18.0,2021-04-20
185.181.104.242,nginx/1.26.3,1.26.3,2025-04-23
84.241.179.158,nginx,unknown,unknown
86.105.246.251,nginx,unknown,unknown
83.217.77.248,nginx,unknown,unknown
93.186.176.90,nginx,unknown,unknown
85.209.111.76,nginx,unknown,unknown
95.215.186.11,nginx,unknown,unknown
93.186.176.74,nginx,unknown,unknown
93.119.3.231,nginx,unknown,unknown
93.186.178.212,nginx,unknown,unknown
94.228.136.169,nginx,unknown,unknown
93.92.103.119,nginx,unknown,unknown
93.92.103.107,nginx,unknown,unknown
93.92.103.97,nginx,unknown,unknown
