ip,version,eol_status,cve_id,base_score,base_severity,cvss_version
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2017-3736,6.5,MEDIUM,3.0
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2018-0739,6.5,MEDIUM,3.0
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2018-0737,5.9,MEDIUM,3.0
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2018-0732,7.5,HIGH,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2018-0734,5.9,MEDIUM,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2018-5407,4.7,MEDIUM,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2019-1559,5.9,MEDIUM,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2019-1552,3.3,LOW,3.0
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2019-1547,4.7,MEDIUM,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2019-1563,3.7,LOW,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2019-1551,5.3,MEDIUM,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2020-1968,3.7,LOW,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2020-1971,5.9,MEDIUM,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2021-23840,7.5,HIGH,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2021-23841,5.9,MEDIUM,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2021-3712,7.4,HIGH,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2021-4160,5.9,MEDIUM,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2022-0778,7.5,HIGH,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2022-1292,7.3,HIGH,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2022-2068,7.3,HIGH,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2022-4304,5.9,MEDIUM,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2023-0215,7.5,HIGH,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2023-0286,7.4,HIGH,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2023-0464,7.5,HIGH,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2023-0465,5.3,MEDIUM,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2023-0466,5.3,MEDIUM,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2023-2650,6.5,MEDIUM,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2023-5678,5.3,MEDIUM,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2024-0727,5.5,MEDIUM,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2025-68160,4.7,MEDIUM,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2025-69421,7.5,HIGH,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2026-22796,5.3,MEDIUM,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2026-28388,7.5,HIGH,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2026-28389,7.5,HIGH,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2026-28390,7.5,HIGH,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2026-34180,7.5,HIGH,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2026-42766,5.9,MEDIUM,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2026-45447,8.8,HIGH,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2026-7383,8.1,HIGH,3.1
185.104.28.238,1.0.2k-fips,2019-12-31,CVE-2026-9076,7.5,HIGH,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2017-3736,6.5,MEDIUM,3.0
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2018-0739,6.5,MEDIUM,3.0
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2018-0737,5.9,MEDIUM,3.0
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2018-0732,7.5,HIGH,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2018-0734,5.9,MEDIUM,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2018-5407,4.7,MEDIUM,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2019-1559,5.9,MEDIUM,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2019-1552,3.3,LOW,3.0
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2019-1547,4.7,MEDIUM,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2019-1563,3.7,LOW,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2019-1551,5.3,MEDIUM,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2020-1968,3.7,LOW,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2020-1971,5.9,MEDIUM,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2021-23840,7.5,HIGH,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2021-23841,5.9,MEDIUM,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2021-3712,7.4,HIGH,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2021-4160,5.9,MEDIUM,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2022-0778,7.5,HIGH,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2022-1292,7.3,HIGH,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2022-2068,7.3,HIGH,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2022-4304,5.9,MEDIUM,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2023-0215,7.5,HIGH,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2023-0286,7.4,HIGH,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2023-0464,7.5,HIGH,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2023-0465,5.3,MEDIUM,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2023-0466,5.3,MEDIUM,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2023-2650,6.5,MEDIUM,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2023-5678,5.3,MEDIUM,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2024-0727,5.5,MEDIUM,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2025-68160,4.7,MEDIUM,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2025-69421,7.5,HIGH,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2026-22796,5.3,MEDIUM,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2026-28388,7.5,HIGH,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2026-28389,7.5,HIGH,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2026-28390,7.5,HIGH,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2026-34180,7.5,HIGH,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2026-42766,5.9,MEDIUM,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2026-45447,8.8,HIGH,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2026-7383,8.1,HIGH,3.1
185.182.56.12,1.0.2k-fips,2019-12-31,CVE-2026-9076,7.5,HIGH,3.1
