ip,status_code,server_header,nginx_version,eol_status,asn,org
203.159.93.33,200,nginx/1.18.0 (Ubuntu),1.18.0,2021-04-20,56309,"SIAMDATA-TH - Siamdata Communication Co.,Ltd., TH"
37.97.201.218,200,nginx/1.24.0 (Ubuntu),1.24.0,2024-04-23,20857,"TRANSIP-AS - Signet B.V., NL"
85.146.63.198,403,nginx,unknown,,50266,"Odido - Odido Netherlands B.V., NL"
5.79.67.50,200,nginx/1.18.0 (Ubuntu),1.18.0,2021-04-20,60781,"LEASEWEB-NL-AMS-01 - LeaseWeb Netherlands B.V., NL"
37.97.229.185,404,nginx/1.24.0 (Ubuntu),1.24.0,2024-04-23,20857,"TRANSIP-AS - Signet B.V., NL"
37.74.9.217,200,nginx/1.19.10,1.19.10,2021-05-25,1136,"KPN - KPN B.V., NL"
80.89.238.19,500,nginx/1.18.0 (Ubuntu),1.18.0,2021-04-20,211381,"PODAON - Podaon SIA, LV"
37.148.132.182,200,nginx/1.18.0 (Ubuntu),1.18.0,2021-04-20,210356,"BattleHost - KAUA REIS DA SILVA trading as BattleHost, BR"
185.228.81.211,404,nginx/1.18.0 (Ubuntu),1.18.0,2021-04-20,211750,"MC-NODE-AS - Stef Herman Anton Wolters trading as MC-Node, NL"
37.97.134.207,404,nginx,unknown,,20857,"TRANSIP-AS - Signet B.V., NL"
94.215.29.160,200,nginx,unknown,,33915,"TNF-AS - Vodafone Libertel B.V., NL"
185.133.36.114,403,nginx/1.10.3 (Ubuntu),1.10.3,2017-04-12,51942,"EKMEDIA - EK-Media B.V., NL"
83.81.138.22,200,nginx,unknown,,33915,"TNF-AS - Vodafone Libertel B.V., NL"
185.95.24.193,200,nginx,unknown,,51468,"ONECOM - One.com A/S, DK"
80.89.237.32,200,nginx/1.18.0 (Ubuntu),1.18.0,2021-04-20,211381,"PODAON - Podaon SIA, LV"
37.48.104.121,404,nginx,unknown,,60781,"LEASEWEB-NL-AMS-01 - LeaseWeb Netherlands B.V., NL"
81.92.188.19,200,nginx,unknown,,35467,"DDF-AS - DDFR IT Infra & Security B.V., NL"
84.22.120.60,404,nginx/1.18.0 (Ubuntu),1.18.0,2021-04-20,196752,"TILAA - Tilaa B.V., NL"
212.69.84.87,200,nginx,unknown,,57043,"HOSTKEY-AS - HOSTKEY B.V., NL"
37.128.148.242,200,nginx,unknown,,197902,"HOSTNET - Hostnet B.V., NL"
84.22.97.24,200,nginx,unknown,,196752,"TILAA - Tilaa B.V., NL"
85.10.149.40,400,nginx/1.18.0 (Ubuntu),1.18.0,2021-04-20,20857,"TRANSIP-AS - Signet B.V., NL"
185.173.21.112,204,nginx,unknown,,12859,"NL-BIT - BIT BV, NL"
185.232.86.116,200,nginx,unknown,,208621,"logicforge - LogicForge Limited, GB"
185.95.24.158,200,nginx,unknown,,51468,"ONECOM - One.com A/S, DK"
85.10.155.26,200,nginx,unknown,,20857,"TRANSIP-AS - Signet B.V., NL"
139.162.201.47,200,nginx,unknown,,63949,"AKAMAI-LINODE-AP - Akamai Connected Cloud, SG"
5.11.83.232,200,nginx/1.20.1,1.20.1,2022-05-24,35415,"WEBZILLA - Webzilla B.V., NL"
130.37.53.146,200,nginx/1.24.0 (Ubuntu),1.24.0,2024-04-23,1103,"SURFNET-NL - SURF B.V., NL"
