ip,port,status_code,server_header,nginx_version
"78.140.187.210","80","403","nginx/1.10.3","1.10.3"
"149.210.154.27","80","404","nginx/1.18.0 (Ubuntu)","1.18.0"
"89.106.207.132","80","200","nginx","unknown"
"93.119.2.174","80","200","nginx","unknown"
"217.121.147.171","80","200","nginx","unknown"
"81.171.5.242","80","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"84.27.72.73","80","200","nginx","unknown"
"88.208.18.35","80","404","nginx","unknown"
"149.210.159.204","80","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"149.210.159.204","443","404","nginx/1.24.0 (Ubuntu)","1.24.0"
"37.97.131.105","80","200","nginx","unknown"
"37.97.131.105","443","200","nginx","unknown"
"46.19.34.64","80","404","nginx/1.18.0 (Ubuntu)","1.18.0"
"46.19.34.64","443","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"146.0.74.204","80","200","nginx","unknown"
"146.0.74.204","443","403","nginx","unknown"
"178.162.136.11","80","404","nginx","unknown"
"178.162.136.11","443","404","nginx/1.22.1","1.22.1"
"23.109.14.4","80","403","nginx","unknown"
"23.109.14.4","443","403","nginx","unknown"
"149.210.206.150","80","200","nginx","unknown"
"149.210.206.150","443","200","nginx","unknown"
"185.173.132.92","80","403","nginx","unknown"
"185.173.132.92","443","200","nginx","unknown"
"185.219.81.249","80","200","nginx","unknown"
"185.219.81.249","443","200","nginx","unknown"
"77.83.172.59","80","200","nginx/1.18.0","1.18.0"
"77.83.172.59","443","200","nginx/1.18.0","1.18.0"
"139.162.133.236","80","403","nginx/1.21.5","1.21.5"
"139.162.133.236","443","200","nginx/1.21.5","1.21.5"
"185.156.161.100","80","403","nginx","unknown"
"185.156.161.100","443","200","nginx","unknown"
"77.169.68.185","80","200","nginx","unknown"
"77.169.68.185","443","200","nginx","unknown"
"84.244.137.200","80","404","nginx/1.20.1","1.20.1"
"84.244.137.200","443","200","nginx/1.20.1","1.20.1"
"178.224.166.83","80","200","nginx","unknown"
"178.224.166.83","443","200","nginx","unknown"
"212.7.205.234","80","200","nginx","unknown"
"212.7.205.234","443","200","nginx","unknown"
"185.224.132.235","80","200","nginx","unknown"
"139.162.220.225","80","200","nginx","unknown"
"139.162.220.225","443","200","nginx","unknown"
"136.144.137.73","80","404","nginx/1.29.8","1.29.8"
"136.144.137.73","443","404","nginx/1.29.8","1.29.8"
"94.103.156.2","80","200","nginx/1.14.1","1.14.1"
"94.103.156.2","443","200","nginx/1.14.1","1.14.1"
"188.72.205.216","80","200","nginx/1.14.1","1.14.1"
"188.72.205.216","443","200","nginx/1.14.1","1.14.1"
"149.210.215.125","80","503","nginx","unknown"
"149.210.215.125","443","503","nginx","unknown"
"87.253.131.24","80","200","nginx","unknown"
"87.253.131.24","443","200","nginx","unknown"
"45.133.249.185","80","403","nginx","unknown"
"45.133.249.185","443","200","nginx","unknown"
"185.185.51.104","80","200","nginx/1.30.0","1.30.0"
"185.185.51.104","443","200","nginx/1.30.0","1.30.0"
"86.94.89.178","80","200","nginx","unknown"
"86.94.89.178","443","200","nginx","unknown"
"31.220.27.101","80","404","nginx/1.18.0","1.18.0"
"31.220.27.101","443","404","nginx/1.18.0","1.18.0"
"185.191.0.212","80","200","nginx","unknown"
"185.191.0.212","443","200","nginx","unknown"
"81.4.87.224","80","200","nginx/1.14.0 (Ubuntu)","1.14.0"
"81.4.87.224","443","403","nginx/1.14.0 (Ubuntu)","1.14.0"
"185.253.219.165","80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"185.253.219.165","443","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"185.177.124.186","80","200","nginx","unknown"
"185.177.124.186","443","200","nginx","unknown"
"5.79.105.24","80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"5.79.105.24","443","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"139.162.169.211","80","404","nginx/1.24.0 (Ubuntu)","1.24.0"
"139.162.169.211","443","404","nginx/1.24.0 (Ubuntu)","1.24.0"
"139.162.251.55","80","200","nginx","unknown"
"139.162.251.55","443","200","nginx","unknown"
"45.87.41.242","80","200","nginx/1.28.0","1.28.0"
"95.211.218.156","80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"95.211.218.156","443","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"62.112.9.89","80","200","nginx/1.22.1","1.22.1"
