103.149.169.109,platformduurzaamovenspoor.nl
104.110.191.66,vananaarbeter.nl
104.18.18.57,participatiefonds.nl
104.18.19.57,participatiefonds.nl
104.18.28.114,vervangingsfonds.nl
104.18.29.114,vervangingsfonds.nl
104.18.8.195,studielink.nl
104.18.8.232,justitieleinterventies.nl
104.18.9.195,studielink.nl
104.18.9.232,justitieleinterventies.nl
104.20.19.175,cbhc.hetcak.nl;www.hetcak.nl
104.20.32.178,mycoa.nl
104.20.46.186,vsregister.venvn.nl;venvn.nl
104.21.3.68,slotcoordination.nl
104.21.31.78,ibki.nl
104.21.67.76,lemmer-delfzijl.nl
104.21.73.34,eu2004.nl
104.21.81.235,euphix.org
104.21.85.25,inspireaanmerking.nl
104.21.86.24,onderwijsincijfers.nl
104.26.0.3,filmfonds.nl
104.26.1.3,filmfonds.nl
104.26.4.66,poraad.nl
104.26.5.66,poraad.nl
104.40.151.59,vrachtwagenheffing.nl;rdw.nl
104.45.73.147,dustex.nl
108.141.5.154,ser.nl
108.156.60.126,waarzitwatin.nl
108.156.60.2,waarzitwatin.nl
108.156.60.36,waarzitwatin.nl
108.156.60.67,waarzitwatin.nl
109.163.225.35,korpsnationalereserve.nl
109.163.225.62,geosamen.nl
109.235.78.22,kustwacht.nl
109.71.54.46,rijkewaddenzee.nl
116.202.98.85,thegfce.org
116.203.73.95,collectienederland.nl
128.65.195.180,egc-group.org
13.248.169.48,energiehout.com
13.248.242.218,knmi.nl
13.32.43.112,jetelefoondebaas.nl
13.32.43.39,jetelefoondebaas.nl
13.32.43.60,jetelefoondebaas.nl
13.32.43.89,jetelefoondebaas.nl
13.69.68.10,skal.nl
131.211.194.230,interspeciesinfo.com
131.224.244.101,e-mjv.nl
131.224.244.106,dv2030.nl
131.224.244.111,draaiboekhielprikscreening.rivm.nl
131.224.244.114,wateetnederland.nl
131.224.244.116,veiligtatoeerenenpiercen.nl
131.224.244.121,signaleringleefomgevingengezondheid.nl
131.224.244.130,nevo-online.rivm.nl
131.224.244.148,regiobeeld.nl
131.224.244.180,kennisnetwerkbiociden.nl
131.224.244.184,ezips.rivm.nl
131.224.244.190,loketgentherapie.nl
131.224.244.191,ggo-vergunningverlening.nl
131.224.244.200,draaiboekpsie.nl
131.224.244.203,whofic.nl
131.224.244.215,dynamo-hia.eu
131.224.244.230,pns.nl
131.224.244.233,monitorgezondheid.nl
131.224.244.44,onehealth.nl
131.224.244.48,emissieregistratie.nl
131.224.244.58,metenvanduurzaamheid.nl
131.224.244.67,omgevingsveiligheid.rivm.nl
131.224.244.75,bureaubiosecurity.nl
131.224.244.87,akkoordverbeteringproductsamenstelling.nl
131.224.244.88,bestrijdingsmiddelen-omwonenden.nl
131.224.244.90,bodemambities.nl
131.224.244.91,biociden.nl
131.224.244.92,ssc-campus.nl;rattenmonitor.nl
131.224.244.97,kosteneffectiviteitvanpreventie.nl
131.224.245.10,efeat.org
131.224.245.15,wegtotdewetenschap.nl
131.224.245.16,expertisecentrumlyme.nl
131.224.245.17,kennisplatformveehouderij.nl;kennisplatformvhg.nl
131.224.245.84,rivm.nl
131.224.245.85,rivm.nl
131.224.245.9,coronadashboard.rijksoverheid.nl
131.224.250.120,volksgezondheidenzorg.info
131.224.250.138,nationaleenergieatlas.nl
131.224.250.149,vtv2018.nl
131.224.250.155,atlasnatuurlijkkapitaal.nl
131.224.250.163,samenmetenaanluchtkwaliteit.nl
131.224.250.178,isis-web.nl
131.224.250.185,biotechnologie.rivm.nl
131.224.250.19,atlasinfectieziekten.nl
131.224.250.207,actiemonitoringce.nl
131.224.250.212,sportenbewegenincijfers.nl
131.224.250.213,tst-rds.nl
131.224.250.219,teebstad.nl
131.224.250.221,gezondeleefomgeving.nl
131.224.250.222,rijksvaccinatieprogramma.nl
131.224.250.232,lci.rivm.nl
131.224.250.34,rvs.rivm.nl
131.224.250.53,loketgezondleven.nl
131.224.250.65,gezondekinderopvang.nl
131.224.250.76,staatvenz.nl
131.224.250.78,risicotoolboxbodem.nl
131.224.250.82,atlasleefomgeving.nl
131.224.250.92,neorah.nl
131.237.78.112,amice.lma.nl
131.237.78.173,asbestvolgsysteem.nl
131.237.78.183,overstroomik.nl
131.237.78.184,hoogwaterbeschermingsprogramma.nl
131.237.78.188,immissietoets.nl
131.237.78.200,rwsverkeersinfo.nl
131.237.78.232,basisinformatie-overstromingen.nl;professional.basisinformatie-overstromingen.nl
131.237.78.79,vaarweginformatie.nl
132.164.123.249,cbs.nl
134.209.137.7,visitaties.nl
136.144.154.6,monitor-nederlanddigitaal.nl
136.144.185.174,dopingautoriteit.nl;dopingwaaier.nl
136.144.186.144,sustainabilitymethod.com
136.144.188.132,nwo-i.nl
136.144.215.151,irongallink.org
136.144.218.226,rinis.nl
136.144.222.158,alertonline.nl;meldknop.nl
137.224.205.100,agrimatie.nl
137.224.9.30,agrologistiek.nl
138.199.160.246,e-rihs.nl
139.162.205.121,hollandchemistry.nl
141.138.142.123,monumenten.nl
141.138.168.129,dutchcultureusa.com
141.138.200.170,ezinesbr.nl
142.93.232.28,cultuurparticipatie.nl
144.43.243.208,digid.nl
144.43.243.66,digimelding.nl;portaal.digimelding.nl
144.43.243.69,stelselcatalogus.nl
144.43.252.10,machtigen.digid.nl
144.43.253.50,nltaxonomie.nl
144.43.253.55,aansluiten.procesinfrastructuur.nl
145.100.190.13,integraalveilig-ho.nl
145.12.218.140,aanpakstikstof.nl
145.12.218.20,iedereendoetwat.nl;platformkringlooplandbouw.nl;nl-works.nl;biodiversiteit.nl;biodiversity-chm.nl;dcypher.nl;enterpriseeuropenetwork.nl;internationaalondernemen.nl;spaceoffice.nl;deconcurrenten.nl
145.12.218.251,authenticatie.inspectieview.nl
145.12.218.30,tenderned.nl
145.12.218.45,ep-online.nl
145.12.218.47,avgregisterrijksoverheid.nl
145.12.218.56,wkotool.nl
145.12.218.89,mijn.rvo.nl
145.131.10.225,svbabc.nl;gipinfo.nl
145.136.249.85,nederlandsesoorten.nl
145.222.153.98,zorgcsp.nl
145.222.154.75,crl.pkioverheid.nl;cert.pkioverheid.nl;cps.pkioverheid.nl
145.23.3.96,eunadics.eu
145.23.3.97,cesar-database.nl
145.23.3.98,climatescenarios.nl;klimaatatlas.nl;klimaatscenarios.nl;weeralarm.nl;projects.knmi.nl;qa4ecv.eu
145.69.218.140,aanpakstikstof.nl
145.77.240.120,wozwaardeloket.nl
145.77.240.162,brk.basisregistraties.overheid.nl
145.77.240.163,brt.basisregistraties.overheid.nl
145.77.240.20,nsgi.nl
145.77.240.54,kadaster.nl
145.77.240.55,oicrf.org
145.77.240.59,bag.basisregistraties.overheid.nl
145.77.240.60,pdok.nl
145.77.240.69,zakelijk.kadaster.nl
145.77.240.8,kadaster.com
145.83.4.32,grensinfo.nl;svb.nl;verhalenoverdeoorlog.nl
145.84.24.128,uwv.nl
145.84.24.144,werk.nl
145.97.37.71,leraar.nl
147.181.10.152,rijksbrededienstverleners.nl
147.181.10.82,uno.dfront.rijkscloud.nl
147.181.12.117,almanak.overheid.nl;data.overheid.nl;standaarden.overheid.nl;wetten.overheid.nl;linkeddata.overheid.nl;treatydatabase.overheid.nl;tuchtrecht.overheid.nl;verdragenbank.overheid.nl;wetgevingskalender.overheid.nl;zoek.officielebekendmakingen.nl
147.181.12.149,internetconsultatie.nl;puc.overheid.nl;drop.overheid.nl;mnd.overheid.nl;oproepingen.overheid.nl;verkeersbesluiten.overheid.nl
147.181.12.168,subsidie.monumenten.nl
147.181.12.60,arorijk.nl;rijksictdashboard.nl;nas-adaptatietool.nl
147.181.13.106,tools.rijksinnovatiecommunity.nl
147.181.13.125,omgevingsloket.nl
147.181.13.162,subsidie.cultureelerfgoed.nl
147.181.13.83,data.overheid.nl;wetten.overheid.nl;wetgevingskalender.overheid.nl
147.181.15.191,omgevingsloket.nl;aimonline.nl
147.181.15.213,rce-test.monumenten.nl
147.181.15.33,arorijk.nl;rijksictdashboard.nl;nas-adaptatietool.nl
147.181.15.93,isd.acc.owinsp.nl
147.181.2.56,mijn.overheid.nl
147.181.36.14,drop.overheid.nl;mnd.overheid.nl;oproepingen.overheid.nl;verkeersbesluiten.overheid.nl
147.181.36.86,loket.anvs.nl
147.181.37.183,omgevingsloket.nl;pre.omgevingswet.overheid.nl
147.181.37.221,linkeddata.overheid.nl;treatydatabase.overheid.nl;tuchtrecht.overheid.nl;verdragenbank.overheid.nl
147.181.37.238,kcwj.nl;officielebekendmakingen.nl;overheid.nl;rijksbegroting.nl;standaarden.overheid.nl;zoek.officielebekendmakingen.nl
147.181.37.239,omgevingsloket.nl
147.181.38.60,www.verrekeningneveninkomsten.nl
147.181.6.36,europeanpartnership-responsibleminerals.eu;life-ip-deltanatuur.nl;tradeandinnovate.nl;adviescommissiedbe.nl;kamervoordebinnenvisserij.nl;demijnraad.nl;mijnbouwvergunningen.nl;deskundigengroepdierziekten.nl;manifestgroep.pleio.nl;natuurkaravaan.pleio.nl;verwijzingsportaalbankgegevens.nl;bom.pleio.nl;pleio.nl;datagedreventoezicht.pleio.nl;lokale-democratie.nl;commissiebbv.nl
